step,value
0,10.0
1,10.0
2,23.0
3,30.0
4,20.0
5,48.0
6,51.0
7,73.0
8,65.0
9,79.0
10,103.0
11,28.0
12,16.0
13,27.0
14,33.0
15,28.0
16,22.0
17,32.0
18,23.0
19,19.0
20,81.0
21,55.0
22,121.0
23,150.0
24,77.0
25,34.0
26,138.0
27,200.0
28,200.0
29,200.0
30,196.0
31,91.0
32,96.0
33,200.0
34,200.0
35,45.0
36,200.0
37,51.0
38,142.0
39,80.0
40,71.0
41,139.0
42,182.0
43,59.0
44,200.0
45,128.0
46,97.0
47,83.0
48,68.0
49,73.0
50,174.0
51,166.0
52,98.0
53,124.0
54,138.0
55,95.0
56,89.0
57,104.0
58,141.0
59,104.0
60,101.0
61,108.0
62,132.0
63,93.0
64,101.0
65,66.0
66,168.0
67,127.0
68,142.0
69,57.0
70,142.0
71,98.0
72,90.0
73,130.0
74,121.0
75,108.0
76,120.0
77,98.0
78,168.0
79,173.0
80,100.0
81,121.0
82,110.0
83,138.0
84,132.0
85,134.0
86,126.0
87,120.0
88,122.0
89,158.0
90,127.0
91,125.0
92,174.0
93,184.0
94,184.0
95,151.0
96,200.0
97,174.0
98,170.0
99,195.0
100,170.0
101,200.0
102,11.0
103,176.0
104,200.0
105,181.0
106,163.0
107,44.0
108,159.0
109,82.0
110,189.0
111,148.0
112,200.0
113,200.0
114,187.0
115,191.0
116,167.0
117,179.0
118,200.0
119,190.0
120,169.0
121,169.0
122,188.0
123,200.0
124,173.0
125,163.0
126,177.0
127,193.0
128,200.0
129,200.0
130,172.0
131,160.0
132,172.0
133,200.0
134,198.0
135,188.0
136,185.0
137,195.0
138,193.0
139,200.0
140,200.0
141,200.0
142,200.0
143,200.0
144,200.0
145,173.0
146,200.0
147,200.0
148,200.0
149,178.0
150,180.0
151,200.0
152,193.0
153,200.0
154,200.0
155,200.0
156,200.0
157,200.0
158,200.0
159,200.0
160,200.0
161,200.0
162,200.0
163,186.0
164,200.0
165,200.0
166,182.0
167,175.0
168,200.0
169,200.0
170,196.0
171,193.0
172,183.0
173,195.0
174,186.0
175,198.0
176,196.0
177,197.0
178,197.0
179,189.0
180,182.0
181,199.0
182,186.0
183,185.0
184,200.0
185,200.0
186,190.0
187,200.0
188,197.0
189,200.0
190,195.0
191,200.0
192,194.0
193,182.0
194,190.0
195,191.0
196,200.0
197,200.0
198,200.0
199,200.0
200,200.0
201,191.0
202,200.0
203,198.0
204,200.0
205,200.0
206,185.0
207,189.0
208,200.0
209,200.0
210,200.0
211,194.0
212,200.0
213,199.0
214,199.0
215,200.0
216,190.0
217,198.0
218,200.0
219,188.0
220,191.0
221,196.0
222,189.0
223,200.0
224,194.0
225,193.0
226,200.0
227,200.0
228,199.0
229,185.0
230,198.0
231,189.0
232,200.0
233,200.0
234,200.0
235,189.0
236,198.0
237,193.0
238,191.0
239,200.0
240,190.0
241,192.0
242,200.0
243,188.0
244,194.0
245,200.0
246,191.0
247,185.0
248,200.0
249,200.0
250,200.0
251,196.0
252,200.0
253,192.0
254,200.0
255,200.0
256,200.0
257,193.0
258,193.0
259,200.0
260,197.0
261,194.0
262,190.0
263,184.0
264,200.0
265,200.0
266,193.0
267,200.0
268,200.0
269,200.0
270,200.0
271,193.0
272,190.0
273,188.0
274,200.0
275,200.0
276,200.0
277,200.0
278,200.0
279,200.0
280,200.0
281,189.0
282,200.0
283,200.0
284,196.0
285,199.0
286,184.0
287,192.0
288,197.0
289,192.0
290,185.0
291,200.0
292,198.0
293,198.0
294,199.0
295,200.0
296,197.0
297,200.0
298,188.0
299,195.0
300,200.0
301,187.0
302,200.0
303,200.0
304,199.0
305,189.0
306,189.0
307,194.0
308,200.0
309,200.0
310,200.0
311,200.0
312,191.0
313,200.0
314,184.0
315,191.0
316,200.0
317,188.0
318,194.0
319,195.0
320,200.0
321,200.0
322,200.0
323,190.0
324,197.0
325,200.0
326,198.0
327,190.0
328,180.0
329,192.0
330,200.0
331,188.0
332,200.0
333,200.0
334,200.0
335,200.0
336,176.0
337,181.0
338,190.0
339,187.0
340,200.0
341,200.0
342,197.0
343,200.0
344,184.0
345,189.0
346,200.0
347,200.0
348,194.0
349,200.0
350,200.0
351,186.0
352,197.0
353,188.0
354,200.0
355,200.0
356,196.0
357,200.0
358,200.0
359,200.0
360,199.0
361,183.0
362,181.0
363,193.0
364,193.0
365,195.0
366,199.0
367,189.0
368,193.0
369,199.0
370,200.0
371,200.0
372,200.0
373,200.0
374,200.0
375,195.0
376,194.0
377,196.0
378,187.0
379,200.0
380,200.0
381,191.0
382,200.0
383,199.0
384,195.0
385,200.0
386,200.0
387,200.0
388,200.0
389,200.0
390,200.0
391,200.0
392,200.0
393,194.0
394,191.0
395,200.0
396,193.0
397,200.0
398,192.0
399,200.0
400,200.0
401,195.0
402,200.0
403,200.0
404,196.0
405,200.0
406,200.0
407,195.0
408,197.0
409,200.0
410,200.0
411,200.0
412,200.0
413,200.0
414,200.0
415,200.0
416,200.0
417,200.0
418,198.0
419,187.0
420,200.0
421,200.0
422,179.0
423,200.0
424,188.0
425,186.0
426,189.0
427,200.0
428,200.0
429,200.0
430,200.0
431,200.0
432,200.0
433,196.0
434,200.0
435,200.0
436,200.0
437,189.0
438,200.0
439,194.0
440,200.0
441,200.0
442,190.0
443,197.0
444,191.0
445,200.0
446,198.0
447,200.0
448,200.0
449,200.0
450,193.0
451,200.0
452,200.0
453,200.0
454,200.0
455,200.0
456,200.0
457,200.0
458,200.0
459,200.0
460,200.0
461,186.0
462,200.0
463,198.0
464,192.0
465,200.0
466,197.0
467,197.0
468,200.0
469,200.0
470,200.0
471,200.0
472,199.0
473,187.0
474,187.0
475,200.0
476,184.0
477,200.0
478,186.0
479,197.0
480,200.0
481,200.0
482,200.0
483,199.0
484,179.0
485,200.0
486,200.0
487,199.0
488,200.0
489,189.0
