step,value
0,38.0
1,60.0
2,8.0
3,10.0
4,39.0
5,37.0
6,28.0
7,23.0
8,43.0
9,9.0
10,9.0
11,38.0
12,33.0
13,29.0
14,33.0
15,87.0
16,25.0
17,29.0
18,45.0
19,10.0
20,53.0
21,28.0
22,62.0
23,10.0
24,24.0
25,51.0
26,38.0
27,42.0
28,10.0
29,43.0
30,31.0
31,47.0
32,9.0
33,38.0
34,58.0
35,30.0
36,30.0
37,38.0
38,10.0
39,9.0
40,23.0
41,33.0
42,65.0
43,35.0
44,46.0
45,35.0
46,41.0
47,53.0
48,50.0
49,40.0
50,23.0
51,63.0
52,51.0
53,33.0
54,23.0
55,31.0
56,8.0
57,9.0
58,9.0
59,8.0
60,10.0
61,10.0
62,10.0
63,10.0
64,42.0
65,9.0
66,8.0
67,9.0
68,40.0
69,27.0
70,23.0
71,9.0
72,9.0
73,16.0
74,16.0
75,9.0
76,9.0
77,22.0
78,9.0
79,8.0
80,9.0
81,9.0
82,9.0
83,8.0
84,18.0
85,37.0
86,9.0
87,9.0
88,22.0
89,9.0
90,8.0
91,8.0
92,9.0
93,28.0
94,9.0
95,9.0
96,40.0
97,27.0
98,9.0
99,31.0
100,18.0
101,21.0
102,26.0
103,23.0
104,13.0
105,52.0
106,8.0
107,9.0
108,36.0
109,13.0
110,25.0
111,8.0
112,13.0
113,9.0
114,8.0
115,56.0
116,26.0
117,20.0
118,29.0
119,28.0
120,37.0
121,25.0
122,54.0
123,17.0
124,23.0
125,27.0
126,15.0
127,29.0
128,16.0
129,14.0
130,36.0
131,9.0
132,32.0
133,50.0
134,40.0
135,28.0
136,200.0
137,52.0
138,200.0
139,37.0
140,25.0
141,62.0
142,200.0
143,59.0
144,42.0
145,200.0
146,45.0
147,200.0
148,200.0
149,34.0
150,39.0
151,33.0
152,43.0
153,23.0
154,59.0
155,38.0
156,42.0
157,12.0
158,21.0
159,13.0
160,16.0
161,29.0
162,32.0
163,73.0
164,200.0
165,31.0
166,35.0
167,22.0
168,35.0
169,27.0
170,32.0
171,15.0
172,13.0
173,13.0
174,17.0
175,21.0
176,24.0
177,20.0
178,12.0
179,13.0
180,44.0
181,25.0
182,18.0
183,16.0
184,23.0
185,21.0
186,26.0
187,27.0
188,16.0
189,17.0
190,28.0
191,13.0
192,23.0
193,13.0
194,31.0
195,21.0
196,28.0
197,12.0
198,40.0
199,12.0
200,33.0
201,20.0
202,20.0
203,24.0
204,37.0
205,67.0
206,37.0
207,19.0
208,17.0
209,13.0
210,43.0
211,31.0
212,21.0
213,13.0
214,23.0
215,20.0
216,26.0
217,20.0
218,22.0
219,27.0
220,20.0
221,28.0
222,19.0
223,23.0
224,14.0
225,19.0
226,26.0
227,27.0
228,25.0
229,23.0
230,24.0
231,21.0
232,24.0
233,18.0
234,17.0
235,18.0
236,25.0
237,23.0
238,32.0
239,35.0
240,28.0
241,20.0
242,32.0
243,30.0
244,21.0
245,23.0
246,15.0
247,26.0
248,25.0
249,32.0
250,19.0
251,17.0
252,37.0
253,25.0
254,26.0
255,22.0
256,40.0
257,32.0
258,23.0
259,14.0
260,25.0
261,49.0
262,22.0
263,24.0
264,26.0
265,24.0
266,24.0
267,38.0
268,36.0
269,25.0
270,25.0
271,27.0
272,26.0
273,36.0
274,35.0
275,40.0
276,37.0
277,40.0
278,25.0
279,26.0
280,16.0
281,17.0
282,30.0
283,24.0
284,24.0
285,25.0
286,29.0
287,36.0
288,30.0
289,39.0
290,26.0
291,23.0
292,25.0
293,25.0
294,26.0
295,23.0
296,21.0
297,38.0
298,35.0
299,25.0
300,26.0
301,25.0
302,24.0
303,27.0
304,26.0
305,12.0
306,27.0
307,27.0
308,26.0
309,25.0
310,24.0
311,14.0
312,28.0
313,25.0
314,28.0
315,28.0
316,23.0
317,31.0
318,35.0
319,21.0
320,25.0
321,28.0
322,24.0
323,22.0
324,33.0
325,28.0
326,25.0
327,36.0
328,23.0
329,27.0
330,28.0
331,13.0
332,36.0
333,27.0
334,34.0
335,21.0
336,23.0
337,25.0
338,27.0
339,22.0
340,28.0
341,22.0
342,32.0
343,41.0
344,42.0
345,28.0
346,47.0
347,36.0
348,38.0
349,27.0
350,28.0
351,29.0
352,24.0
353,27.0
354,29.0
355,26.0
356,38.0
357,28.0
358,26.0
359,28.0
360,23.0
361,35.0
362,29.0
363,32.0
364,22.0
365,12.0
366,25.0
367,36.0
368,28.0
369,26.0
370,22.0
371,35.0
372,38.0
373,25.0
374,24.0
375,25.0
376,32.0
377,36.0
378,32.0
379,33.0
380,27.0
381,26.0
382,34.0
383,27.0
384,22.0
385,28.0
386,27.0
387,28.0
388,38.0
389,23.0
390,27.0
391,12.0
392,27.0
393,33.0
394,30.0
395,23.0
396,28.0
397,25.0
398,27.0
399,30.0
400,23.0
401,28.0
402,22.0
403,24.0
404,25.0
