step,value
0,63.0
1,29.0
2,17.0
3,10.0
4,10.0
5,9.0
6,9.0
7,43.0
8,21.0
9,52.0
10,30.0
11,60.0
12,89.0
13,72.0
14,95.0
15,61.0
16,71.0
17,117.0
18,75.0
19,15.0
20,32.0
21,38.0
22,9.0
23,10.0
24,8.0
25,8.0
26,10.0
27,10.0
28,9.0
29,10.0
30,9.0
31,10.0
32,10.0
33,8.0
34,8.0
35,9.0
36,11.0
37,109.0
38,107.0
39,11.0
40,26.0
41,89.0
42,79.0
43,38.0
44,95.0
45,12.0
46,91.0
47,27.0
48,84.0
49,42.0
50,28.0
51,78.0
52,76.0
53,77.0
54,84.0
55,75.0
56,65.0
57,59.0
58,29.0
59,21.0
60,29.0
61,37.0
62,200.0
63,81.0
64,28.0
65,38.0
66,26.0
67,30.0
68,28.0
69,25.0
70,28.0
71,37.0
72,117.0
73,50.0
74,26.0
75,51.0
76,28.0
77,38.0
78,139.0
79,65.0
80,26.0
81,51.0
82,169.0
83,34.0
84,64.0
85,60.0
86,58.0
87,47.0
88,26.0
89,25.0
90,30.0
91,33.0
92,21.0
93,26.0
94,27.0
95,34.0
96,54.0
97,37.0
98,43.0
99,43.0
100,28.0
101,29.0
102,41.0
103,46.0
104,38.0
105,12.0
106,23.0
107,42.0
108,45.0
109,41.0
110,48.0
111,43.0
112,53.0
113,42.0
114,24.0
115,41.0
116,34.0
117,50.0
118,36.0
119,25.0
120,51.0
121,14.0
122,29.0
123,36.0
124,60.0
125,89.0
126,41.0
127,53.0
128,84.0
129,52.0
130,67.0
131,39.0
132,43.0
133,91.0
134,29.0
135,42.0
136,23.0
137,42.0
138,61.0
139,65.0
140,37.0
141,43.0
142,30.0
143,36.0
144,64.0
145,39.0
146,67.0
147,52.0
148,51.0
149,37.0
150,42.0
151,40.0
152,46.0
153,48.0
154,33.0
155,38.0
156,39.0
157,35.0
158,38.0
159,74.0
160,63.0
161,56.0
162,38.0
163,25.0
164,11.0
165,38.0
166,41.0
167,36.0
168,77.0
169,190.0
170,45.0
171,48.0
172,41.0
173,39.0
174,27.0
175,28.0
176,24.0
177,35.0
178,24.0
179,38.0
180,39.0
181,24.0
182,37.0
183,27.0
184,46.0
185,46.0
186,36.0
187,39.0
188,36.0
189,58.0
190,35.0
191,41.0
192,42.0
193,24.0
194,46.0
195,40.0
196,37.0
197,39.0
198,44.0
199,42.0
200,35.0
201,40.0
202,26.0
203,40.0
204,24.0
205,46.0
206,45.0
207,42.0
208,39.0
209,56.0
210,35.0
211,50.0
212,39.0
213,33.0
214,48.0
215,32.0
216,34.0
217,24.0
218,39.0
219,37.0
220,48.0
221,51.0
222,38.0
223,46.0
224,34.0
225,46.0
226,38.0
227,36.0
228,48.0
229,51.0
230,45.0
231,52.0
232,34.0
233,35.0
234,40.0
235,39.0
236,62.0
237,54.0
238,38.0
239,40.0
240,42.0
241,44.0
242,37.0
243,38.0
244,46.0
245,45.0
246,24.0
247,50.0
248,27.0
249,34.0
250,35.0
251,38.0
252,36.0
253,24.0
254,32.0
255,26.0
256,25.0
257,38.0
258,38.0
259,34.0
260,51.0
261,31.0
262,38.0
263,25.0
264,25.0
265,34.0
266,39.0
267,39.0
268,26.0
269,39.0
270,30.0
271,48.0
272,43.0
273,24.0
274,35.0
275,39.0
276,53.0
277,58.0
278,46.0
279,35.0
280,45.0
281,58.0
282,55.0
283,47.0
284,39.0
285,51.0
286,65.0
287,67.0
288,62.0
289,58.0
290,52.0
291,27.0
292,44.0
293,41.0
294,36.0
295,54.0
296,34.0
297,39.0
298,38.0
299,34.0
300,36.0
301,24.0
302,30.0
303,37.0
304,44.0
305,34.0
306,36.0
307,39.0
308,38.0
309,51.0
310,38.0
311,30.0
312,35.0
313,40.0
314,41.0
315,41.0
316,44.0
317,56.0
318,44.0
319,51.0
320,40.0
321,35.0
322,36.0
323,42.0
324,28.0
325,39.0
326,46.0
327,26.0
328,46.0
329,49.0
330,35.0
331,64.0
332,57.0
333,50.0
334,64.0
335,51.0
336,69.0
337,66.0
338,34.0
339,33.0
340,40.0
341,37.0
342,49.0
343,26.0
344,45.0
345,41.0
346,39.0
347,36.0
348,36.0
349,35.0
350,49.0
351,35.0
352,35.0
353,38.0
354,34.0
355,35.0
356,33.0
357,61.0
358,55.0
359,84.0
360,51.0
361,40.0
362,43.0
363,54.0
364,46.0
365,68.0
366,43.0
367,46.0
368,38.0
369,46.0
370,61.0
371,54.0
372,47.0
373,37.0
374,36.0
375,63.0
376,57.0
377,36.0
378,49.0
379,39.0
380,48.0
381,77.0
382,56.0
383,55.0
384,40.0
385,49.0
386,57.0
387,50.0
388,64.0
389,42.0
390,40.0
391,38.0
392,33.0
393,54.0
394,51.0
395,40.0
396,35.0
397,47.0
398,36.0
399,45.0
400,46.0
401,57.0
402,39.0
403,61.0
404,46.0
405,33.0
406,52.0
407,50.0
408,59.0
409,91.0
410,47.0
411,54.0
412,46.0
413,58.0
414,46.0
415,58.0
416,46.0
417,40.0
418,71.0
419,50.0
420,45.0
421,34.0
422,40.0
423,45.0
424,41.0
425,36.0
426,72.0
427,59.0
428,52.0
429,41.0
430,37.0
431,41.0
432,35.0
433,39.0
434,39.0
435,38.0
436,38.0
437,39.0
438,50.0
439,49.0
440,60.0
441,46.0
442,62.0
443,51.0
444,64.0
445,28.0
446,33.0
447,50.0
448,35.0
449,43.0
450,39.0
451,38.0
452,34.0
453,46.0
454,34.0
455,47.0
456,39.0
457,36.0
458,50.0
459,69.0
460,66.0
461,52.0
462,47.0
463,39.0
464,65.0
465,66.0
466,56.0
467,39.0
468,69.0
469,62.0
470,66.0
471,39.0
472,40.0
473,43.0
474,44.0
475,38.0
476,29.0
477,25.0
478,38.0
479,58.0
480,39.0
481,39.0
482,48.0
483,36.0
484,53.0
485,34.0
486,65.0
487,35.0
488,28.0
489,63.0
