step,value
0,9.0
1,9.0
2,8.0
3,9.0
4,10.0
5,9.0
6,10.0
7,10.0
8,10.0
9,9.0
10,11.0
11,9.0
12,10.0
13,9.0
14,11.0
15,10.0
16,10.0
17,9.0
18,9.0
19,11.0
20,9.0
21,11.0
22,9.0
23,39.0
24,33.0
25,10.0
26,9.0
27,10.0
28,9.0
29,8.0
30,11.0
31,8.0
32,10.0
33,10.0
34,28.0
35,13.0
36,11.0
37,9.0
38,11.0
39,11.0
40,17.0
41,54.0
42,17.0
43,22.0
44,20.0
45,20.0
46,12.0
47,14.0
48,11.0
49,12.0
50,41.0
51,10.0
52,200.0
53,12.0
54,14.0
55,136.0
56,130.0
57,200.0
58,178.0
59,138.0
60,108.0
61,147.0
62,180.0
63,117.0
64,122.0
65,200.0
66,30.0
67,39.0
68,200.0
69,200.0
70,72.0
71,200.0
72,93.0
73,131.0
74,69.0
75,158.0
76,76.0
77,105.0
78,38.0
79,72.0
80,200.0
81,100.0
82,32.0
83,39.0
84,45.0
85,200.0
86,57.0
87,179.0
88,29.0
89,30.0
90,32.0
91,88.0
92,76.0
93,57.0
94,50.0
95,44.0
96,40.0
97,32.0
98,200.0
99,200.0
100,66.0
101,55.0
102,173.0
103,35.0
104,38.0
105,52.0
106,50.0
107,59.0
108,200.0
109,94.0
110,43.0
111,48.0
112,37.0
113,200.0
114,200.0
115,95.0
116,75.0
117,55.0
118,89.0
119,70.0
120,52.0
121,200.0
122,89.0
123,120.0
124,62.0
125,40.0
126,65.0
127,42.0
128,74.0
129,41.0
130,200.0
131,74.0
132,200.0
133,73.0
134,115.0
135,51.0
136,36.0
137,38.0
138,41.0
139,40.0
140,81.0
141,60.0
142,57.0
143,45.0
144,200.0
145,161.0
146,200.0
147,62.0
148,62.0
149,66.0
150,54.0
151,69.0
152,58.0
153,58.0
154,200.0
155,54.0
156,127.0
157,64.0
158,43.0
159,92.0
160,142.0
161,72.0
162,97.0
163,49.0
164,200.0
165,123.0
166,47.0
167,52.0
168,39.0
169,155.0
170,64.0
171,55.0
172,53.0
173,70.0
174,49.0
175,55.0
176,200.0
177,200.0
178,46.0
179,52.0
180,44.0
181,45.0
182,82.0
183,87.0
184,44.0
185,38.0
186,62.0
187,59.0
188,200.0
189,156.0
190,53.0
191,200.0
192,63.0
193,59.0
194,42.0
195,144.0
196,75.0
197,200.0
198,75.0
199,58.0
200,81.0
201,142.0
202,50.0
203,43.0
204,47.0
205,119.0
206,82.0
207,86.0
208,64.0
209,58.0
210,70.0
211,50.0
