step,value
0,9.0
1,10.0
2,9.0
3,9.0
4,9.0
5,9.0
6,10.0
7,8.0
8,8.0
9,10.0
10,10.0
11,10.0
12,8.0
13,9.0
14,8.0
15,8.0
16,9.0
17,10.0
18,9.0
19,10.0
20,9.0
21,8.0
22,8.0
23,10.0
24,9.0
25,9.0
26,10.0
27,10.0
28,9.0
29,10.0
30,10.0
31,9.0
32,9.0
33,10.0
34,11.0
35,9.0
36,10.0
37,33.0
38,23.0
39,33.0
40,23.0
41,36.0
42,60.0
43,42.0
44,83.0
45,22.0
46,23.0
47,18.0
48,22.0
49,25.0
50,17.0
51,34.0
52,22.0
53,22.0
54,24.0
55,24.0
56,22.0
57,28.0
58,32.0
59,41.0
60,37.0
61,12.0
62,22.0
63,28.0
64,14.0
65,18.0
66,18.0
67,18.0
68,22.0
69,74.0
70,22.0
71,26.0
72,22.0
73,12.0
74,22.0
75,24.0
76,24.0
77,30.0
78,56.0
79,25.0
80,93.0
81,36.0
82,51.0
83,48.0
84,37.0
85,37.0
86,49.0
87,41.0
88,51.0
89,48.0
90,49.0
91,37.0
92,41.0
93,59.0
94,48.0
95,28.0
96,65.0
97,31.0
98,28.0
99,25.0
100,49.0
101,78.0
102,51.0
103,27.0
104,32.0
105,70.0
106,55.0
107,107.0
108,76.0
109,71.0
110,38.0
111,27.0
112,78.0
113,51.0
114,68.0
115,33.0
116,59.0
117,41.0
118,55.0
119,45.0
120,61.0
121,71.0
122,60.0
123,55.0
124,84.0
125,129.0
126,66.0
127,40.0
128,69.0
129,41.0
130,40.0
131,55.0
132,66.0
133,33.0
134,94.0
135,64.0
136,64.0
137,70.0
138,113.0
139,200.0
140,75.0
141,73.0
142,200.0
143,71.0
144,58.0
145,62.0
146,102.0
147,110.0
148,46.0
149,80.0
150,33.0
151,104.0
152,67.0
153,68.0
154,71.0
155,92.0
156,61.0
157,70.0
158,72.0
159,54.0
160,63.0
161,81.0
162,50.0
163,53.0
164,200.0
165,186.0
166,89.0
167,114.0
168,81.0
169,80.0
170,200.0
171,73.0
172,58.0
173,200.0
174,62.0
175,179.0
176,129.0
177,85.0
178,155.0
179,86.0
180,97.0
181,101.0
182,74.0
183,128.0
184,99.0
185,79.0
186,91.0
187,60.0
188,50.0
189,63.0
190,75.0
191,141.0
192,119.0
193,51.0
194,111.0
195,82.0
196,76.0
197,58.0
198,73.0
199,61.0
200,73.0
201,103.0
202,59.0
203,73.0
204,59.0
205,84.0
206,116.0
207,70.0
208,113.0
209,98.0
210,200.0
211,103.0
212,69.0
213,69.0
214,79.0
215,71.0
216,101.0
217,87.0
218,81.0
219,200.0
220,200.0
221,101.0
222,101.0
223,106.0
224,72.0
225,103.0
226,75.0
227,80.0
228,88.0
229,107.0
230,71.0
231,89.0
232,79.0
233,98.0
234,81.0
235,99.0
236,66.0
237,175.0
238,91.0
239,71.0
240,81.0
241,106.0
242,71.0
243,113.0
244,108.0
245,160.0
246,200.0
247,152.0
248,125.0
249,101.0
250,76.0
251,200.0
252,200.0
253,71.0
254,110.0
255,62.0
256,125.0
257,200.0
258,122.0
259,200.0
260,105.0
