step,value
0,35.0
1,10.0
2,10.0
3,9.0
4,9.0
5,9.0
6,9.0
7,9.0
8,8.0
9,10.0
10,9.0
11,10.0
12,10.0
13,10.0
14,9.0
15,9.0
16,8.0
17,10.0
18,10.0
19,9.0
20,9.0
21,9.0
22,9.0
23,10.0
24,10.0
25,8.0
26,10.0
27,9.0
28,8.0
29,10.0
30,10.0
31,10.0
32,9.0
33,9.0
34,9.0
35,10.0
36,9.0
37,8.0
38,9.0
39,10.0
40,10.0
41,9.0
42,9.0
43,9.0
44,10.0
45,10.0
46,10.0
47,9.0
48,10.0
49,9.0
50,10.0
51,10.0
52,10.0
53,9.0
54,10.0
55,8.0
56,9.0
57,9.0
58,9.0
59,9.0
60,9.0
61,9.0
62,10.0
63,9.0
64,9.0
65,10.0
66,9.0
67,8.0
68,10.0
69,9.0
70,9.0
71,9.0
72,9.0
73,9.0
74,9.0
75,11.0
76,10.0
77,10.0
78,9.0
79,9.0
80,9.0
81,10.0
82,10.0
83,10.0
84,9.0
85,10.0
86,10.0
87,10.0
88,9.0
89,9.0
90,10.0
91,9.0
92,11.0
93,9.0
94,9.0
95,9.0
96,11.0
97,9.0
98,9.0
99,11.0
100,11.0
101,11.0
102,11.0
103,10.0
104,11.0
105,10.0
106,9.0
107,11.0
108,9.0
109,11.0
110,10.0
111,10.0
112,9.0
113,10.0
114,9.0
115,9.0
116,9.0
117,10.0
118,11.0
119,9.0
120,11.0
121,10.0
122,10.0
123,10.0
124,10.0
125,11.0
126,9.0
127,10.0
128,9.0
129,9.0
130,10.0
131,10.0
132,9.0
133,9.0
134,9.0
135,10.0
136,10.0
137,9.0
138,10.0
139,9.0
140,10.0
141,10.0
142,10.0
143,16.0
144,10.0
145,10.0
146,10.0
147,11.0
148,10.0
149,9.0
150,14.0
151,9.0
152,11.0
153,9.0
154,8.0
155,11.0
156,9.0
157,11.0
158,9.0
159,10.0
160,11.0
161,9.0
162,10.0
163,10.0
164,8.0
165,9.0
166,9.0
167,10.0
168,10.0
169,9.0
170,8.0
171,9.0
172,11.0
173,11.0
174,8.0
175,10.0
176,10.0
177,8.0
178,9.0
179,10.0
180,8.0
181,8.0
182,15.0
183,11.0
184,9.0
185,19.0
186,11.0
187,9.0
188,9.0
189,19.0
190,14.0
191,34.0
192,24.0
193,22.0
194,42.0
195,34.0
196,24.0
197,65.0
198,40.0
199,55.0
200,52.0
201,54.0
202,57.0
203,67.0
204,86.0
205,33.0
206,104.0
207,45.0
208,58.0
209,30.0
210,36.0
211,30.0
212,55.0
213,40.0
214,63.0
215,54.0
216,69.0
217,128.0
218,193.0
219,133.0
220,34.0
221,44.0
222,51.0
223,36.0
224,120.0
225,111.0
226,77.0
227,117.0
228,53.0
229,104.0
230,75.0
231,124.0
232,106.0
233,129.0
234,79.0
235,90.0
236,52.0
237,76.0
238,105.0
239,74.0
240,83.0
241,128.0
242,100.0
243,41.0
244,111.0
245,67.0
246,87.0
247,56.0
248,80.0
249,155.0
250,95.0
251,86.0
252,68.0
253,139.0
254,83.0
255,71.0
256,56.0
257,72.0
258,78.0
259,79.0
260,83.0
261,63.0
262,90.0
263,54.0
264,186.0
265,114.0
266,80.0
267,136.0
268,86.0
269,33.0
270,121.0
271,79.0
272,79.0
273,117.0
274,126.0
275,72.0
276,61.0
277,80.0
278,53.0
279,93.0
280,84.0
281,79.0
282,110.0
283,47.0
284,61.0
285,70.0
286,77.0
287,120.0
288,145.0
289,68.0
290,162.0
291,36.0
292,52.0
293,43.0
294,62.0
295,82.0
296,75.0
297,57.0
298,54.0
299,87.0
300,64.0
301,73.0
302,39.0
303,45.0
304,58.0
305,86.0
306,111.0
307,53.0
308,60.0
309,32.0
310,49.0
311,43.0
312,95.0
313,59.0
314,58.0
315,33.0
316,53.0
317,57.0
318,53.0
319,81.0
320,51.0
321,43.0
322,40.0
323,35.0
324,52.0
325,37.0
326,36.0
327,55.0
328,82.0
329,51.0
330,45.0
331,31.0
332,49.0
333,51.0
334,67.0
335,58.0
336,74.0
337,87.0
338,54.0
339,40.0
340,41.0
341,48.0
342,52.0
343,53.0
344,48.0
345,40.0
346,66.0
347,39.0
348,52.0
349,61.0
350,52.0
351,32.0
352,37.0
353,56.0
354,39.0
355,37.0
356,64.0
357,68.0
358,69.0
359,44.0
360,25.0
361,41.0
362,34.0
363,37.0
364,29.0
365,45.0
366,45.0
367,23.0
368,39.0
369,51.0
370,44.0
371,41.0
372,41.0
373,39.0
374,45.0
375,39.0
376,41.0
377,43.0
378,72.0
379,52.0
380,52.0
381,47.0
382,37.0
383,42.0
384,37.0
385,52.0
386,41.0
387,63.0
388,48.0
389,37.0
390,42.0
391,36.0
392,41.0
393,25.0
394,38.0
395,42.0
396,40.0
397,23.0
398,35.0
399,30.0
400,32.0
401,44.0
402,39.0
403,33.0
404,38.0
405,44.0
406,38.0
407,25.0
408,33.0
409,40.0
410,51.0
411,52.0
412,51.0
413,48.0
414,75.0
415,46.0
416,82.0
417,82.0
418,39.0
419,36.0
420,39.0
421,30.0
422,30.0
423,21.0
424,38.0
425,30.0
426,39.0
427,45.0
428,57.0
429,57.0
430,47.0
431,54.0
432,46.0
433,31.0
434,40.0
435,51.0
436,55.0
437,60.0
438,51.0
439,53.0
440,56.0
441,38.0
442,50.0
443,38.0
444,28.0
445,36.0
446,41.0
447,48.0
448,50.0
449,67.0
450,29.0
451,39.0
452,17.0
453,38.0
454,34.0
455,59.0
456,39.0
457,53.0
458,35.0
459,41.0
460,44.0
461,43.0
462,36.0
463,30.0
464,12.0
465,10.0
466,11.0
467,21.0
468,45.0
469,43.0
470,46.0
471,46.0
472,28.0
473,37.0
474,35.0
475,46.0
476,39.0
477,22.0
478,27.0
479,23.0
480,36.0
481,43.0
482,24.0
483,28.0
484,23.0
485,53.0
486,39.0
487,35.0
488,39.0
489,43.0
