step,value
0,9.0
1,9.0
2,10.0
3,15.0
4,21.0
5,8.0
6,19.0
7,9.0
8,10.0
9,22.0
10,9.0
11,10.0
12,10.0
13,10.0
14,17.0
15,8.0
16,9.0
17,10.0
18,17.0
19,11.0
20,9.0
21,10.0
22,8.0
23,15.0
24,9.0
25,9.0
26,13.0
27,17.0
28,19.0
29,15.0
30,55.0
31,29.0
32,34.0
33,48.0
34,112.0
35,50.0
36,82.0
37,72.0
38,56.0
39,49.0
40,46.0
41,26.0
42,28.0
43,37.0
44,30.0
45,33.0
46,26.0
47,30.0
48,21.0
49,25.0
50,22.0
51,25.0
52,23.0
53,23.0
54,27.0
55,32.0
56,43.0
57,27.0
58,48.0
59,39.0
60,41.0
61,39.0
62,36.0
63,47.0
64,35.0
65,52.0
66,28.0
67,60.0
68,33.0
69,56.0
70,69.0
71,31.0
72,29.0
73,41.0
74,37.0
75,56.0
76,38.0
77,133.0
78,35.0
79,44.0
80,40.0
81,36.0
82,81.0
83,38.0
84,33.0
85,32.0
86,37.0
87,53.0
88,200.0
89,134.0
90,153.0
91,200.0
92,44.0
93,61.0
94,44.0
95,200.0
96,165.0
97,46.0
98,39.0
99,44.0
100,43.0
101,55.0
102,37.0
103,71.0
104,40.0
105,59.0
106,59.0
107,73.0
108,136.0
109,41.0
110,200.0
111,110.0
112,75.0
113,200.0
114,69.0
115,189.0
116,41.0
117,39.0
118,200.0
119,73.0
120,199.0
121,61.0
122,60.0
123,53.0
124,53.0
125,46.0
126,51.0
127,51.0
128,128.0
129,40.0
130,58.0
131,57.0
132,200.0
133,200.0
134,85.0
135,84.0
136,154.0
137,34.0
138,55.0
139,200.0
140,49.0
141,64.0
142,148.0
143,60.0
144,81.0
145,86.0
146,179.0
147,60.0
148,56.0
149,65.0
150,110.0
151,100.0
152,70.0
153,200.0
154,178.0
155,51.0
156,38.0
157,34.0
158,72.0
159,58.0
160,86.0
161,83.0
162,43.0
163,72.0
164,65.0
165,42.0
166,41.0
167,37.0
168,60.0
169,74.0
170,126.0
171,45.0
172,55.0
173,58.0
174,200.0
175,52.0
176,33.0
177,95.0
178,38.0
179,64.0
180,65.0
181,99.0
182,30.0
183,72.0
184,94.0
185,58.0
186,70.0
187,82.0
188,67.0
189,84.0
190,102.0
191,81.0
192,57.0
193,116.0
194,80.0
195,89.0
196,50.0
197,73.0
198,71.0
199,81.0
200,87.0
201,64.0
202,55.0
203,60.0
204,37.0
205,79.0
206,84.0
207,79.0
208,60.0
209,72.0
210,95.0
211,72.0
