step,value
0,14.0
1,23.0
2,17.0
3,23.0
4,26.0
5,23.0
6,16.0
7,17.0
8,11.0
9,13.0
10,18.0
11,9.0
12,14.0
13,36.0
14,25.0
15,10.0
16,27.0
17,17.0
18,16.0
19,9.0
20,9.0
21,27.0
22,28.0
23,34.0
24,20.0
25,10.0
26,19.0
27,10.0
28,22.0
29,20.0
30,9.0
31,22.0
32,17.0
33,19.0
34,38.0
35,20.0
36,9.0
37,22.0
38,13.0
39,11.0
40,9.0
41,21.0
42,21.0
43,19.0
44,10.0
45,49.0
46,18.0
47,17.0
48,17.0
49,30.0
50,17.0
51,9.0
52,19.0
53,11.0
54,10.0
55,23.0
56,21.0
57,22.0
58,20.0
59,10.0
60,24.0
61,19.0
62,9.0
63,10.0
64,18.0
65,18.0
66,21.0
67,77.0
68,15.0
69,68.0
70,20.0
71,11.0
72,14.0
73,23.0
74,9.0
75,22.0
76,8.0
77,9.0
78,11.0
79,9.0
80,28.0
81,21.0
82,15.0
83,26.0
84,27.0
85,57.0
86,75.0
87,48.0
88,34.0
89,82.0
90,61.0
91,33.0
92,41.0
93,76.0
94,33.0
95,28.0
96,50.0
97,34.0
98,42.0
99,54.0
100,36.0
101,32.0
102,34.0
103,34.0
104,39.0
105,33.0
106,36.0
107,35.0
108,56.0
109,33.0
110,49.0
111,46.0
112,74.0
113,57.0
114,40.0
115,46.0
116,74.0
117,66.0
118,46.0
119,65.0
120,48.0
121,54.0
122,51.0
123,67.0
124,50.0
125,51.0
126,70.0
127,93.0
128,47.0
129,58.0
130,90.0
131,68.0
132,72.0
133,69.0
134,80.0
135,68.0
136,67.0
137,109.0
138,80.0
139,76.0
140,70.0
141,76.0
142,129.0
143,108.0
144,71.0
145,68.0
146,71.0
147,122.0
148,80.0
149,147.0
150,69.0
151,138.0
152,69.0
153,79.0
154,102.0
155,64.0
156,99.0
157,103.0
158,75.0
159,65.0
160,107.0
161,70.0
162,200.0
163,91.0
164,122.0
165,85.0
166,68.0
167,73.0
168,200.0
169,97.0
170,73.0
171,200.0
172,78.0
173,77.0
174,71.0
175,113.0
176,62.0
177,73.0
178,73.0
179,63.0
180,64.0
181,74.0
182,200.0
183,72.0
184,70.0
185,94.0
186,69.0
187,81.0
188,68.0
189,81.0
190,65.0
191,72.0
192,60.0
193,200.0
194,77.0
195,67.0
196,73.0
197,69.0
198,99.0
199,71.0
200,70.0
201,93.0
202,59.0
203,67.0
204,64.0
205,200.0
206,61.0
207,67.0
208,67.0
209,73.0
210,74.0
211,79.0
212,78.0
213,89.0
214,65.0
215,68.0
216,74.0
217,59.0
218,73.0
219,72.0
220,90.0
221,62.0
222,200.0
223,63.0
224,67.0
225,197.0
226,97.0
227,71.0
228,85.0
229,69.0
230,161.0
231,95.0
232,73.0
233,70.0
234,167.0
235,69.0
236,200.0
237,195.0
238,137.0
239,115.0
240,131.0
241,117.0
242,132.0
243,139.0
244,121.0
245,130.0
246,61.0
247,123.0
248,156.0
249,143.0
250,129.0
251,113.0
252,200.0
253,144.0
254,60.0
255,137.0
256,130.0
257,131.0
258,156.0
259,127.0
260,136.0
261,126.0
262,119.0
263,119.0
264,119.0
265,132.0
266,146.0
