step,value
0,10.0
1,9.0
2,9.0
3,10.0
4,10.0
5,8.0
6,10.0
7,10.0
8,10.0
9,8.0
10,9.0
11,10.0
12,10.0
13,9.0
14,10.0
15,9.0
16,10.0
17,9.0
18,9.0
19,9.0
20,8.0
21,11.0
22,11.0
23,17.0
24,22.0
25,9.0
26,16.0
27,11.0
28,18.0
29,8.0
30,8.0
31,13.0
32,22.0
33,15.0
34,26.0
35,8.0
36,23.0
37,24.0
38,23.0
39,36.0
40,29.0
41,33.0
42,30.0
43,25.0
44,29.0
45,26.0
46,44.0
47,29.0
48,54.0
49,29.0
50,28.0
51,51.0
52,31.0
53,51.0
54,35.0
55,17.0
56,82.0
57,12.0
58,12.0
59,95.0
60,35.0
61,11.0
62,11.0
63,12.0
64,11.0
65,10.0
66,31.0
67,41.0
68,11.0
69,10.0
70,11.0
71,11.0
72,11.0
73,30.0
74,11.0
75,11.0
76,10.0
77,10.0
78,11.0
79,10.0
80,10.0
81,10.0
82,10.0
83,20.0
84,9.0
85,10.0
86,14.0
87,10.0
88,10.0
89,9.0
90,10.0
91,10.0
92,8.0
93,9.0
94,16.0
95,43.0
96,18.0
97,18.0
98,9.0
99,22.0
100,24.0
101,16.0
102,31.0
103,16.0
104,10.0
105,10.0
106,10.0
107,18.0
108,8.0
109,9.0
110,8.0
111,9.0
112,11.0
113,10.0
114,9.0
115,10.0
116,10.0
117,11.0
118,10.0
119,10.0
120,9.0
121,11.0
122,9.0
123,9.0
124,8.0
125,11.0
126,36.0
127,39.0
128,28.0
129,9.0
130,11.0
131,75.0
132,15.0
133,12.0
134,23.0
135,129.0
136,52.0
137,8.0
138,8.0
139,31.0
140,33.0
141,28.0
142,23.0
143,81.0
144,23.0
145,18.0
146,25.0
147,49.0
148,66.0
149,28.0
150,12.0
151,11.0
152,18.0
153,11.0
154,14.0
155,18.0
156,12.0
157,17.0
158,44.0
159,22.0
160,11.0
161,21.0
162,20.0
163,26.0
164,57.0
165,39.0
166,60.0
167,34.0
168,25.0
169,31.0
170,23.0
171,36.0
172,36.0
173,47.0
174,33.0
175,20.0
176,20.0
177,12.0
178,23.0
179,45.0
180,12.0
181,29.0
182,10.0
183,28.0
184,11.0
185,11.0
186,10.0
187,11.0
188,11.0
189,12.0
190,10.0
191,9.0
192,43.0
193,11.0
