step,value
0,10.0
1,11.0
2,46.0
3,32.0
4,30.0
5,27.0
6,25.0
7,27.0
8,27.0
9,17.0
10,23.0
11,17.0
12,20.0
13,21.0
14,16.0
15,16.0
16,22.0
17,20.0
18,26.0
19,16.0
20,21.0
21,23.0
22,26.0
23,24.0
24,26.0
25,23.0
26,20.0
27,21.0
28,16.0
29,20.0
30,16.0
31,20.0
32,17.0
33,18.0
34,21.0
35,18.0
36,23.0
37,25.0
38,22.0
39,22.0
40,22.0
41,23.0
42,26.0
43,17.0
44,19.0
45,17.0
46,23.0
47,24.0
48,29.0
49,27.0
50,25.0
51,18.0
52,26.0
53,19.0
54,23.0
55,24.0
56,23.0
57,23.0
58,29.0
59,26.0
60,22.0
61,30.0
62,30.0
63,34.0
64,35.0
65,37.0
66,38.0
67,37.0
68,30.0
69,62.0
70,41.0
71,32.0
72,42.0
73,48.0
74,48.0
75,44.0
76,38.0
77,36.0
78,31.0
79,40.0
80,34.0
81,32.0
82,51.0
83,42.0
84,93.0
85,34.0
86,45.0
87,50.0
88,60.0
89,32.0
90,36.0
91,73.0
92,53.0
93,40.0
94,52.0
95,56.0
96,30.0
97,32.0
98,46.0
99,29.0
100,43.0
101,36.0
102,49.0
103,32.0
104,42.0
105,64.0
106,39.0
107,45.0
108,58.0
109,47.0
110,39.0
111,42.0
112,157.0
113,63.0
114,52.0
115,35.0
116,51.0
117,64.0
118,45.0
119,36.0
120,38.0
121,41.0
122,48.0
123,53.0
124,29.0
125,54.0
126,42.0
127,64.0
128,52.0
129,52.0
130,40.0
131,84.0
132,55.0
133,55.0
134,92.0
135,44.0
136,71.0
137,88.0
138,103.0
139,36.0
140,68.0
141,66.0
142,92.0
143,33.0
144,36.0
145,92.0
146,35.0
147,85.0
148,73.0
149,62.0
150,88.0
151,53.0
152,36.0
153,74.0
154,84.0
155,43.0
156,45.0
157,90.0
158,57.0
159,70.0
160,63.0
161,46.0
162,64.0
163,71.0
164,121.0
165,65.0
166,76.0
167,40.0
168,44.0
169,62.0
170,68.0
171,110.0
172,84.0
173,31.0
174,45.0
175,51.0
176,54.0
177,92.0
178,48.0
179,88.0
180,93.0
181,68.0
182,141.0
183,94.0
184,39.0
185,51.0
186,67.0
187,39.0
188,89.0
189,37.0
190,54.0
191,106.0
192,33.0
193,59.0
194,60.0
195,56.0
196,39.0
197,41.0
198,99.0
199,109.0
200,100.0
201,48.0
202,92.0
203,90.0
204,40.0
205,54.0
206,102.0
207,34.0
208,87.0
209,149.0
210,95.0
