step,value
0,24.0
1,10.0
2,10.0
3,9.0
4,10.0
5,9.0
6,17.0
7,9.0
8,8.0
9,10.0
10,10.0
11,10.0
12,10.0
13,10.0
14,9.0
15,10.0
16,9.0
17,10.0
18,9.0
19,9.0
20,10.0
21,23.0
22,10.0
23,11.0
24,13.0
25,8.0
26,10.0
27,8.0
28,10.0
29,10.0
30,9.0
31,10.0
32,9.0
33,9.0
34,61.0
35,9.0
36,9.0
37,8.0
38,9.0
39,10.0
40,10.0
41,10.0
42,9.0
43,10.0
44,10.0
45,9.0
46,9.0
47,10.0
48,9.0
49,11.0
50,9.0
51,10.0
52,9.0
53,9.0
54,9.0
55,8.0
56,10.0
57,9.0
58,14.0
59,47.0
60,9.0
61,10.0
62,9.0
63,9.0
64,9.0
65,10.0
66,9.0
67,10.0
68,10.0
69,10.0
70,10.0
71,9.0
72,9.0
73,10.0
74,11.0
75,9.0
76,92.0
77,11.0
78,9.0
79,9.0
80,14.0
81,35.0
82,26.0
83,14.0
84,38.0
85,13.0
86,34.0
87,12.0
88,46.0
89,28.0
90,82.0
91,27.0
92,17.0
93,42.0
94,167.0
95,15.0
96,37.0
97,45.0
98,42.0
99,46.0
100,40.0
101,20.0
102,19.0
103,123.0
104,62.0
105,51.0
106,52.0
107,84.0
108,80.0
109,53.0
110,26.0
111,74.0
112,85.0
113,58.0
114,200.0
115,62.0
116,82.0
117,107.0
118,47.0
119,35.0
120,200.0
121,99.0
122,200.0
123,200.0
124,112.0
125,118.0
126,200.0
127,111.0
128,86.0
129,148.0
130,88.0
131,189.0
132,117.0
133,200.0
134,9.0
135,121.0
136,109.0
137,191.0
138,151.0
139,200.0
140,200.0
141,200.0
142,197.0
143,200.0
144,200.0
145,101.0
146,164.0
147,200.0
148,190.0
149,200.0
150,186.0
151,200.0
152,200.0
153,194.0
154,200.0
155,200.0
156,200.0
157,200.0
158,135.0
159,200.0
160,139.0
161,140.0
162,200.0
163,134.0
164,200.0
165,188.0
166,193.0
167,185.0
168,180.0
169,200.0
170,200.0
171,200.0
172,200.0
173,200.0
174,156.0
175,152.0
176,200.0
177,163.0
178,200.0
179,200.0
180,184.0
181,200.0
182,200.0
183,174.0
184,181.0
185,200.0
186,200.0
187,200.0
188,191.0
189,194.0
190,191.0
191,200.0
192,200.0
193,200.0
194,150.0
195,200.0
196,171.0
197,200.0
198,200.0
199,184.0
200,200.0
201,200.0
202,200.0
203,200.0
204,200.0
205,200.0
206,200.0
207,200.0
208,187.0
209,200.0
210,174.0
211,200.0
212,157.0
213,200.0
214,180.0
215,200.0
216,178.0
217,200.0
218,129.0
219,200.0
220,150.0
221,200.0
222,187.0
223,154.0
224,200.0
225,193.0
226,200.0
227,152.0
228,173.0
229,200.0
230,200.0
231,178.0
232,200.0
233,165.0
234,200.0
235,200.0
236,200.0
237,194.0
238,200.0
239,200.0
240,200.0
241,190.0
242,141.0
243,197.0
244,159.0
245,186.0
246,165.0
247,149.0
248,200.0
249,149.0
250,200.0
251,142.0
252,200.0
253,191.0
254,200.0
255,200.0
256,190.0
257,197.0
258,180.0
259,200.0
260,184.0
261,156.0
262,200.0
263,157.0
264,200.0
265,133.0
266,200.0
267,200.0
268,179.0
269,199.0
270,200.0
271,150.0
272,153.0
273,200.0
274,188.0
275,200.0
276,200.0
277,200.0
278,200.0
279,194.0
280,200.0
281,200.0
282,158.0
283,200.0
284,200.0
285,200.0
286,200.0
287,196.0
288,200.0
289,200.0
290,200.0
291,188.0
292,200.0
293,200.0
294,200.0
295,200.0
296,192.0
297,200.0
