step,value
0,10.0
1,9.0
2,10.0
3,9.0
4,9.0
5,8.0
6,9.0
7,9.0
8,13.0
9,11.0
10,70.0
11,13.0
12,15.0
13,10.0
14,9.0
15,79.0
16,44.0
17,22.0
18,46.0
19,65.0
20,31.0
21,30.0
22,71.0
23,21.0
24,17.0
25,62.0
26,85.0
27,97.0
28,113.0
29,85.0
30,84.0
31,109.0
32,80.0
33,93.0
34,191.0
35,80.0
36,111.0
37,105.0
38,103.0
39,168.0
40,200.0
41,82.0
42,71.0
43,71.0
44,200.0
45,150.0
46,120.0
47,105.0
48,75.0
49,103.0
50,125.0
51,108.0
52,200.0
53,148.0
54,103.0
55,200.0
56,136.0
57,157.0
58,200.0
59,200.0
60,200.0
61,105.0
62,200.0
63,200.0
64,159.0
65,200.0
66,131.0
67,105.0
68,200.0
69,170.0
70,197.0
71,200.0
72,184.0
73,200.0
74,173.0
75,112.0
76,186.0
77,200.0
78,200.0
79,127.0
80,200.0
81,150.0
82,97.0
83,200.0
84,200.0
85,200.0
86,200.0
87,200.0
88,189.0
89,172.0
90,200.0
91,200.0
92,200.0
93,200.0
94,200.0
95,200.0
96,200.0
97,200.0
98,200.0
99,105.0
100,197.0
101,182.0
102,150.0
103,200.0
104,200.0
105,157.0
106,200.0
107,200.0
108,200.0
109,120.0
110,161.0
111,187.0
112,109.0
113,136.0
114,81.0
115,126.0
116,93.0
117,200.0
118,168.0
119,165.0
120,200.0
121,200.0
122,128.0
123,167.0
124,200.0
125,200.0
126,200.0
127,99.0
128,200.0
129,101.0
130,102.0
131,150.0
132,145.0
133,158.0
134,128.0
135,149.0
136,200.0
137,163.0
138,134.0
139,163.0
140,153.0
141,200.0
142,187.0
143,190.0
144,149.0
145,136.0
146,200.0
147,182.0
148,122.0
149,200.0
150,116.0
151,108.0
152,200.0
153,128.0
154,142.0
155,118.0
156,200.0
157,200.0
158,174.0
159,176.0
160,200.0
161,194.0
162,200.0
163,200.0
164,200.0
165,173.0
166,184.0
167,200.0
168,200.0
169,171.0
170,200.0
171,200.0
172,185.0
173,200.0
174,200.0
175,141.0
176,122.0
177,175.0
178,151.0
179,173.0
180,170.0
181,152.0
182,162.0
183,193.0
184,200.0
185,200.0
186,143.0
187,195.0
188,200.0
189,138.0
190,159.0
191,148.0
192,189.0
193,188.0
194,176.0
195,200.0
196,200.0
197,200.0
198,182.0
199,200.0
200,185.0
201,151.0
202,172.0
203,200.0
204,150.0
205,200.0
206,177.0
207,137.0
208,200.0
209,200.0
210,161.0
211,200.0
212,200.0
213,200.0
214,200.0
215,154.0
216,200.0
217,200.0
218,163.0
219,200.0
220,192.0
221,190.0
222,168.0
223,200.0
224,200.0
225,200.0
226,195.0
227,200.0
228,200.0
229,200.0
230,200.0
231,200.0
232,190.0
233,200.0
234,200.0
235,200.0
236,200.0
237,172.0
238,200.0
239,165.0
240,200.0
241,200.0
242,164.0
243,200.0
244,200.0
245,200.0
246,180.0
247,130.0
248,200.0
249,200.0
250,175.0
251,184.0
252,200.0
253,200.0
254,200.0
255,200.0
256,163.0
257,200.0
258,200.0
259,200.0
260,162.0
261,177.0
262,200.0
263,200.0
264,200.0
265,200.0
266,200.0
267,200.0
268,200.0
269,200.0
270,200.0
271,200.0
272,186.0
273,200.0
274,200.0
275,200.0
276,200.0
277,200.0
278,200.0
279,200.0
280,200.0
281,200.0
