step,value
0,9.0
1,10.0
2,9.0
3,10.0
4,10.0
5,10.0
6,10.0
7,9.0
8,9.0
9,9.0
10,69.0
11,126.0
12,19.0
13,20.0
14,30.0
15,24.0
16,27.0
17,155.0
18,42.0
19,22.0
20,120.0
21,115.0
22,124.0
23,152.0
24,65.0
25,152.0
26,132.0
27,161.0
28,200.0
29,53.0
30,168.0
31,146.0
32,169.0
33,200.0
34,150.0
35,200.0
36,149.0
37,111.0
38,155.0
39,200.0
40,200.0
41,200.0
42,133.0
43,200.0
44,80.0
45,200.0
46,200.0
47,200.0
48,200.0
49,200.0
50,200.0
51,99.0
52,140.0
53,200.0
54,200.0
55,172.0
56,200.0
57,200.0
58,200.0
59,154.0
60,87.0
61,141.0
62,106.0
63,200.0
64,200.0
65,194.0
66,200.0
67,200.0
68,114.0
69,199.0
70,200.0
71,200.0
72,161.0
73,200.0
74,200.0
75,200.0
76,200.0
77,200.0
78,163.0
79,200.0
80,147.0
81,190.0
82,200.0
83,167.0
84,200.0
85,200.0
86,200.0
87,200.0
88,200.0
89,200.0
90,200.0
91,200.0
92,200.0
93,200.0
94,200.0
95,200.0
96,200.0
97,175.0
98,200.0
99,200.0
100,200.0
101,200.0
102,200.0
103,200.0
104,177.0
105,200.0
106,200.0
107,200.0
108,200.0
