step,value
0,9.0
1,9.0
2,10.0
3,11.0
4,13.0
5,11.0
6,11.0
7,14.0
8,21.0
9,21.0
10,14.0
11,24.0
12,11.0
13,12.0
14,10.0
15,13.0
16,46.0
17,61.0
18,61.0
19,80.0
20,50.0
21,75.0
22,77.0
23,66.0
24,70.0
25,159.0
26,185.0
27,200.0
28,200.0
29,163.0
30,170.0
31,200.0
32,138.0
33,76.0
34,40.0
35,102.0
36,129.0
37,125.0
38,200.0
39,200.0
40,200.0
41,185.0
42,132.0
43,127.0
44,111.0
45,115.0
46,144.0
47,116.0
48,113.0
49,121.0
50,131.0
51,114.0
52,126.0
53,136.0
54,127.0
55,167.0
56,149.0
57,200.0
58,133.0
59,111.0
60,146.0
61,126.0
62,114.0
63,107.0
64,63.0
65,64.0
66,77.0
67,83.0
68,71.0
69,67.0
70,64.0
71,52.0
72,63.0
73,46.0
74,59.0
75,105.0
76,63.0
77,57.0
78,57.0
79,44.0
80,62.0
81,49.0
82,51.0
83,123.0
84,47.0
85,59.0
86,64.0
87,46.0
88,38.0
89,42.0
90,57.0
91,37.0
92,60.0
93,44.0
94,50.0
95,50.0
96,80.0
97,34.0
98,42.0
99,46.0
100,47.0
101,52.0
102,83.0
103,40.0
104,62.0
105,38.0
106,36.0
107,67.0
108,60.0
109,70.0
110,42.0
111,62.0
112,62.0
113,55.0
114,49.0
115,56.0
116,60.0
117,64.0
118,55.0
119,73.0
120,45.0
121,50.0
122,48.0
123,62.0
124,62.0
125,183.0
126,45.0
127,59.0
128,75.0
129,50.0
130,92.0
131,53.0
132,62.0
133,59.0
134,102.0
135,84.0
136,62.0
137,43.0
138,59.0
139,77.0
140,71.0
141,50.0
142,52.0
143,66.0
144,157.0
145,71.0
146,59.0
147,106.0
148,97.0
149,75.0
150,100.0
151,75.0
152,63.0
153,65.0
154,76.0
155,59.0
156,94.0
157,95.0
158,69.0
159,57.0
160,113.0
161,106.0
162,57.0
163,57.0
164,99.0
165,87.0
166,73.0
167,63.0
168,59.0
169,200.0
170,55.0
171,61.0
172,131.0
173,96.0
174,82.0
175,133.0
176,101.0
177,136.0
178,200.0
179,139.0
180,86.0
181,87.0
182,56.0
183,60.0
184,92.0
185,200.0
186,122.0
187,83.0
188,128.0
189,68.0
190,86.0
191,56.0
192,73.0
193,154.0
194,69.0
195,102.0
196,98.0
197,55.0
198,85.0
199,59.0
200,98.0
201,65.0
202,65.0
203,94.0
204,81.0
205,89.0
206,53.0
207,85.0
208,57.0
209,73.0
210,62.0
211,127.0
