step,value
0,9.0
1,9.0
2,10.0
3,8.0
4,10.0
5,8.0
6,9.0
7,10.0
8,10.0
9,11.0
10,9.0
11,10.0
12,10.0
13,9.0
14,9.0
15,9.0
16,8.0
17,9.0
18,11.0
19,9.0
20,10.0
21,8.0
22,10.0
23,9.0
24,10.0
25,10.0
26,10.0
27,10.0
28,9.0
29,9.0
30,8.0
31,8.0
32,8.0
33,9.0
34,8.0
35,11.0
36,11.0
37,11.0
38,11.0
39,11.0
40,13.0
41,12.0
42,15.0
43,15.0
44,18.0
45,17.0
46,17.0
47,13.0
48,19.0
49,14.0
50,17.0
51,17.0
52,19.0
53,14.0
54,22.0
55,21.0
56,19.0
57,20.0
58,18.0
59,24.0
60,13.0
61,16.0
62,23.0
63,20.0
64,24.0
65,19.0
66,22.0
67,22.0
68,18.0
69,26.0
70,25.0
71,26.0
72,26.0
73,24.0
74,29.0
75,23.0
76,51.0
77,36.0
78,27.0
79,23.0
80,36.0
81,20.0
82,48.0
83,22.0
84,23.0
85,26.0
86,35.0
87,110.0
88,22.0
89,42.0
90,141.0
91,49.0
92,25.0
93,22.0
94,29.0
95,68.0
96,20.0
97,25.0
98,38.0
99,37.0
100,24.0
101,56.0
102,26.0
103,27.0
104,37.0
105,24.0
106,30.0
107,33.0
108,99.0
109,28.0
110,36.0
111,200.0
112,200.0
113,28.0
114,34.0
115,38.0
116,25.0
117,46.0
118,106.0
119,22.0
120,46.0
121,64.0
122,27.0
123,56.0
124,27.0
125,27.0
126,38.0
127,127.0
128,27.0
129,152.0
130,140.0
131,82.0
132,61.0
133,35.0
134,92.0
135,50.0
136,61.0
137,64.0
138,85.0
139,21.0
140,64.0
141,61.0
142,122.0
143,24.0
144,56.0
145,31.0
146,23.0
147,22.0
148,127.0
149,141.0
150,28.0
151,30.0
152,60.0
153,83.0
154,144.0
155,24.0
156,72.0
157,144.0
158,24.0
159,156.0
160,98.0
161,27.0
162,174.0
163,114.0
164,154.0
165,23.0
166,51.0
167,23.0
168,56.0
169,23.0
170,53.0
171,86.0
172,159.0
173,123.0
174,141.0
175,20.0
176,23.0
177,90.0
178,149.0
179,78.0
180,120.0
181,57.0
182,28.0
183,159.0
184,23.0
185,115.0
186,125.0
187,130.0
188,120.0
189,22.0
190,25.0
191,24.0
192,132.0
193,64.0
194,63.0
195,134.0
196,143.0
197,83.0
198,151.0
199,125.0
200,23.0
201,82.0
202,31.0
203,56.0
204,122.0
205,127.0
206,127.0
207,55.0
208,135.0
209,22.0
210,117.0
211,24.0
