step,value
0,10.0
1,10.0
2,42.0
3,59.0
4,33.0
5,16.0
6,80.0
7,29.0
8,32.0
9,39.0
10,32.0
11,10.0
12,46.0
13,24.0
14,20.0
15,27.0
16,18.0
17,43.0
18,27.0
19,24.0
20,21.0
21,41.0
22,8.0
23,16.0
24,12.0
25,50.0
26,33.0
27,31.0
28,19.0
29,37.0
30,90.0
31,21.0
32,11.0
33,185.0
34,72.0
35,67.0
36,9.0
37,18.0
38,44.0
39,61.0
40,24.0
41,75.0
42,200.0
43,200.0
44,18.0
45,20.0
46,27.0
47,56.0
48,29.0
49,51.0
50,10.0
51,47.0
52,53.0
53,19.0
54,83.0
55,107.0
56,75.0
57,19.0
58,27.0
59,31.0
60,50.0
61,21.0
62,28.0
63,9.0
64,17.0
65,127.0
66,200.0
67,67.0
68,36.0
69,43.0
70,30.0
71,29.0
72,49.0
73,38.0
74,77.0
75,12.0
76,26.0
77,57.0
78,34.0
79,19.0
80,38.0
81,15.0
82,38.0
83,30.0
84,40.0
85,38.0
86,29.0
87,36.0
88,22.0
89,29.0
90,67.0
91,125.0
92,13.0
93,75.0
94,70.0
95,22.0
96,40.0
97,55.0
98,38.0
99,58.0
100,29.0
101,28.0
102,40.0
103,29.0
104,36.0
105,39.0
106,58.0
107,27.0
108,71.0
109,14.0
110,59.0
111,104.0
112,43.0
113,24.0
114,48.0
115,53.0
116,56.0
117,56.0
118,36.0
119,46.0
120,63.0
121,34.0
122,50.0
123,16.0
124,64.0
125,45.0
126,69.0
127,47.0
128,61.0
129,51.0
130,29.0
131,33.0
132,32.0
133,18.0
134,32.0
135,72.0
136,50.0
137,68.0
138,54.0
139,76.0
140,51.0
141,113.0
142,77.0
143,38.0
144,40.0
145,152.0
146,31.0
147,85.0
148,44.0
149,27.0
150,104.0
151,30.0
152,86.0
153,24.0
154,33.0
155,157.0
156,10.0
157,46.0
158,61.0
159,44.0
160,33.0
161,52.0
162,44.0
163,33.0
164,35.0
165,70.0
166,91.0
167,43.0
168,57.0
169,200.0
170,44.0
171,54.0
172,66.0
173,138.0
174,44.0
175,30.0
176,47.0
177,52.0
178,42.0
179,53.0
180,67.0
181,45.0
182,51.0
183,69.0
184,82.0
185,70.0
186,51.0
187,119.0
188,200.0
189,152.0
190,42.0
191,67.0
192,146.0
193,95.0
194,86.0
195,83.0
196,116.0
197,86.0
198,56.0
199,56.0
200,105.0
201,200.0
202,186.0
203,184.0
204,84.0
205,63.0
206,128.0
207,150.0
208,101.0
209,112.0
210,128.0
211,68.0
212,124.0
213,54.0
214,105.0
215,92.0
216,130.0
217,200.0
218,200.0
219,93.0
220,76.0
221,182.0
222,86.0
223,102.0
224,197.0
225,87.0
226,61.0
227,88.0
228,59.0
229,186.0
230,60.0
231,83.0
232,75.0
233,81.0
234,165.0
235,155.0
236,65.0
237,200.0
238,185.0
239,97.0
240,61.0
241,197.0
242,109.0
243,105.0
244,62.0
245,68.0
246,45.0
247,48.0
248,53.0
249,44.0
250,69.0
251,138.0
252,56.0
253,71.0
254,62.0
255,51.0
256,125.0
257,48.0
258,51.0
259,52.0
260,200.0
261,59.0
262,103.0
263,80.0
264,69.0
265,75.0
266,70.0
267,150.0
268,84.0
269,75.0
270,189.0
271,152.0
272,76.0
273,200.0
274,60.0
275,69.0
276,70.0
277,149.0
278,92.0
279,69.0
280,71.0
281,200.0
282,111.0
283,174.0
284,138.0
285,107.0
286,163.0
287,200.0
288,117.0
289,200.0
290,109.0
291,95.0
292,124.0
293,142.0
294,197.0
295,200.0
296,150.0
297,164.0
298,121.0
299,107.0
300,124.0
301,200.0
302,158.0
303,176.0
304,159.0
305,199.0
306,159.0
307,112.0
308,133.0
309,180.0
310,200.0
311,200.0
312,200.0
313,147.0
314,185.0
315,153.0
316,133.0
317,200.0
318,200.0
319,137.0
320,156.0
321,157.0
322,111.0
323,112.0
324,200.0
325,149.0
326,200.0
327,126.0
328,148.0
329,124.0
330,135.0
331,155.0
332,147.0
333,200.0
334,135.0
335,200.0
336,200.0
337,200.0
338,185.0
339,176.0
340,129.0
341,200.0
342,154.0
343,161.0
344,200.0
345,174.0
346,198.0
347,200.0
348,149.0
349,135.0
350,170.0
351,128.0
352,132.0
353,148.0
354,180.0
355,200.0
356,200.0
357,151.0
358,133.0
359,200.0
360,200.0
361,144.0
362,200.0
363,123.0
364,200.0
365,200.0
366,200.0
367,162.0
368,191.0
369,200.0
370,183.0
371,184.0
372,168.0
373,200.0
374,188.0
375,200.0
376,200.0
377,200.0
378,156.0
379,188.0
380,200.0
381,200.0
382,200.0
383,179.0
384,177.0
385,173.0
386,137.0
387,173.0
388,154.0
389,131.0
390,200.0
391,149.0
392,200.0
393,183.0
394,200.0
395,139.0
396,181.0
397,185.0
398,169.0
399,200.0
400,200.0
401,175.0
402,126.0
403,172.0
404,200.0
405,162.0
406,200.0
407,200.0
408,152.0
409,200.0
410,188.0
411,200.0
412,115.0
413,200.0
414,152.0
415,200.0
416,171.0
417,185.0
418,200.0
419,161.0
420,196.0
421,141.0
422,199.0
423,200.0
424,200.0
425,147.0
426,200.0
427,150.0
428,158.0
429,200.0
430,200.0
431,200.0
432,200.0
433,147.0
434,178.0
435,127.0
436,142.0
437,200.0
438,186.0
439,179.0
440,200.0
441,191.0
442,200.0
443,200.0
444,200.0
445,200.0
446,200.0
447,151.0
448,163.0
449,131.0
450,139.0
451,155.0
452,123.0
453,151.0
454,154.0
455,144.0
456,125.0
457,133.0
458,114.0
459,138.0
460,124.0
461,159.0
462,152.0
463,117.0
464,165.0
465,144.0
466,131.0
467,200.0
468,151.0
469,147.0
470,200.0
471,163.0
472,189.0
473,181.0
474,200.0
475,157.0
476,145.0
477,200.0
478,143.0
479,200.0
480,183.0
481,175.0
482,200.0
483,142.0
484,155.0
485,165.0
486,149.0
487,129.0
488,149.0
489,200.0
