step,value
0,9.0
1,8.0
2,8.0
3,9.0
4,11.0
5,10.0
6,8.0
7,9.0
8,12.0
9,23.0
10,25.0
11,26.0
12,11.0
13,10.0
14,11.0
15,10.0
16,9.0
17,9.0
18,9.0
19,10.0
20,9.0
21,9.0
22,8.0
23,9.0
24,8.0
25,10.0
26,10.0
27,10.0
28,9.0
29,9.0
30,9.0
31,8.0
32,9.0
33,9.0
34,10.0
35,17.0
36,17.0
37,9.0
38,10.0
39,10.0
40,10.0
41,9.0
42,27.0
43,34.0
44,16.0
45,22.0
46,16.0
47,16.0
48,18.0
49,18.0
50,49.0
51,16.0
52,36.0
53,15.0
54,51.0
55,28.0
56,51.0
57,18.0
58,29.0
59,39.0
60,14.0
61,29.0
62,15.0
63,50.0
64,40.0
65,18.0
66,16.0
67,27.0
68,20.0
69,42.0
70,23.0
71,23.0
72,16.0
73,21.0
74,41.0
75,30.0
76,16.0
77,35.0
78,32.0
79,35.0
80,30.0
81,24.0
82,17.0
83,27.0
84,43.0
85,17.0
86,21.0
87,38.0
88,24.0
89,28.0
90,32.0
91,29.0
92,37.0
93,43.0
94,21.0
95,31.0
96,37.0
97,41.0
98,25.0
99,29.0
100,25.0
101,35.0
102,42.0
103,40.0
104,36.0
105,52.0
106,23.0
107,32.0
108,28.0
109,38.0
110,27.0
111,30.0
112,25.0
113,40.0
114,28.0
115,27.0
116,23.0
117,23.0
118,28.0
119,24.0
120,26.0
121,29.0
122,25.0
123,32.0
124,35.0
125,39.0
126,30.0
127,47.0
128,51.0
129,46.0
130,22.0
131,29.0
132,22.0
133,25.0
134,29.0
135,37.0
136,22.0
137,59.0
138,21.0
139,50.0
140,33.0
141,31.0
142,36.0
143,29.0
144,65.0
145,68.0
146,25.0
147,51.0
148,30.0
149,45.0
150,76.0
151,30.0
152,27.0
153,33.0
154,19.0
155,21.0
156,58.0
157,63.0
158,50.0
159,23.0
160,56.0
161,45.0
162,75.0
163,47.0
164,29.0
165,45.0
166,72.0
167,32.0
168,51.0
169,45.0
170,49.0
171,139.0
172,44.0
173,58.0
174,52.0
175,57.0
176,60.0
177,47.0
178,77.0
179,77.0
180,60.0
181,66.0
182,44.0
183,37.0
184,50.0
185,48.0
186,23.0
187,29.0
188,49.0
189,90.0
190,39.0
191,59.0
192,66.0
193,23.0
194,71.0
195,62.0
196,87.0
197,64.0
198,37.0
199,41.0
200,98.0
201,62.0
202,78.0
203,49.0
204,84.0
205,39.0
206,38.0
207,35.0
208,35.0
209,104.0
210,37.0
211,34.0
212,57.0
213,45.0
214,67.0
215,40.0
216,39.0
217,23.0
218,37.0
219,47.0
220,49.0
221,37.0
222,52.0
223,41.0
224,53.0
225,41.0
226,29.0
227,78.0
228,54.0
229,40.0
230,58.0
231,53.0
232,73.0
233,37.0
234,63.0
235,65.0
236,88.0
237,61.0
238,75.0
239,39.0
240,25.0
241,50.0
242,46.0
243,71.0
244,61.0
245,95.0
246,49.0
247,94.0
248,60.0
249,39.0
250,42.0
251,96.0
252,95.0
253,48.0
254,31.0
255,67.0
256,43.0
257,58.0
258,71.0
259,55.0
260,76.0
261,47.0
262,50.0
263,53.0
264,61.0
265,69.0
266,61.0
267,75.0
268,74.0
269,33.0
270,83.0
271,76.0
272,168.0
273,51.0
274,71.0
275,59.0
276,31.0
277,40.0
278,51.0
279,100.0
280,46.0
281,59.0
282,44.0
283,43.0
284,53.0
285,65.0
286,68.0
287,35.0
288,30.0
289,48.0
290,79.0
291,46.0
292,37.0
293,113.0
294,43.0
295,41.0
296,61.0
297,50.0
298,43.0
299,41.0
300,38.0
301,55.0
302,104.0
303,73.0
304,53.0
305,51.0
306,56.0
307,73.0
308,56.0
309,44.0
310,45.0
311,163.0
312,92.0
313,50.0
314,49.0
315,45.0
316,66.0
317,45.0
318,54.0
319,59.0
320,50.0
321,69.0
322,51.0
323,53.0
324,50.0
325,62.0
326,50.0
327,49.0
328,43.0
329,61.0
330,75.0
331,44.0
332,63.0
333,50.0
334,39.0
335,71.0
336,61.0
337,45.0
338,54.0
339,51.0
340,61.0
341,48.0
342,72.0
343,75.0
344,52.0
345,85.0
346,47.0
347,50.0
348,64.0
349,98.0
350,64.0
351,45.0
352,50.0
353,82.0
354,64.0
355,55.0
356,65.0
357,61.0
358,75.0
359,79.0
360,59.0
361,49.0
362,52.0
363,48.0
364,67.0
365,46.0
366,72.0
367,47.0
