step,value
0,9.0
1,9.0
2,68.0
3,20.0
4,37.0
5,26.0
6,53.0
7,25.0
8,40.0
9,18.0
10,200.0
11,47.0
12,57.0
13,36.0
14,39.0
15,37.0
16,68.0
17,28.0
18,20.0
19,200.0
20,40.0
21,82.0
22,38.0
23,61.0
24,53.0
25,90.0
26,10.0
27,28.0
28,200.0
29,40.0
30,44.0
31,23.0
32,72.0
33,30.0
34,39.0
35,47.0
36,38.0
37,44.0
38,27.0
39,49.0
40,200.0
41,23.0
42,200.0
43,29.0
44,20.0
45,29.0
46,58.0
47,47.0
48,179.0
49,20.0
50,58.0
51,25.0
52,109.0
53,33.0
54,200.0
55,44.0
56,63.0
57,103.0
58,119.0
59,22.0
60,43.0
61,20.0
62,23.0
63,60.0
64,200.0
65,51.0
66,200.0
67,58.0
68,21.0
69,25.0
70,18.0
71,50.0
72,13.0
73,200.0
74,87.0
75,152.0
76,21.0
77,51.0
78,84.0
79,37.0
80,98.0
81,36.0
82,25.0
83,44.0
84,67.0
85,30.0
86,75.0
87,155.0
88,64.0
89,26.0
90,19.0
91,31.0
92,200.0
93,77.0
94,115.0
95,32.0
96,73.0
97,16.0
98,18.0
99,49.0
100,53.0
101,87.0
102,61.0
103,126.0
104,70.0
105,77.0
106,70.0
107,24.0
108,40.0
109,33.0
110,58.0
111,67.0
112,79.0
113,79.0
114,107.0
115,32.0
116,23.0
117,47.0
118,84.0
119,29.0
120,125.0
121,166.0
122,73.0
123,73.0
124,108.0
125,79.0
126,23.0
127,34.0
128,131.0
129,65.0
130,110.0
131,146.0
132,55.0
133,90.0
134,36.0
135,153.0
136,92.0
137,64.0
138,105.0
139,34.0
140,65.0
141,132.0
142,176.0
143,122.0
144,57.0
145,114.0
146,131.0
147,60.0
148,35.0
149,107.0
150,39.0
151,105.0
152,39.0
153,123.0
154,31.0
155,60.0
156,40.0
157,69.0
158,79.0
159,98.0
160,110.0
161,46.0
162,39.0
163,69.0
164,38.0
165,109.0
166,35.0
167,47.0
168,54.0
169,39.0
170,45.0
171,37.0
172,56.0
173,108.0
174,77.0
175,74.0
176,71.0
177,26.0
178,112.0
179,47.0
180,45.0
181,32.0
182,36.0
183,41.0
184,33.0
185,57.0
186,60.0
187,78.0
188,83.0
189,82.0
190,68.0
191,35.0
192,39.0
193,62.0
194,45.0
195,64.0
196,33.0
197,65.0
198,50.0
199,61.0
200,56.0
201,49.0
202,44.0
203,83.0
204,113.0
205,157.0
206,110.0
207,111.0
208,71.0
209,58.0
210,68.0
211,46.0
