step,value
0,10.0
1,9.0
2,17.0
3,15.0
4,38.0
5,17.0
6,34.0
7,30.0
8,26.0
9,36.0
10,28.0
11,45.0
12,101.0
13,38.0
14,91.0
15,84.0
16,51.0
17,62.0
18,65.0
19,54.0
20,80.0
21,48.0
22,39.0
23,36.0
24,69.0
25,42.0
26,52.0
27,44.0
28,40.0
29,24.0
30,26.0
31,28.0
32,62.0
33,81.0
34,98.0
35,38.0
36,82.0
37,57.0
38,26.0
39,43.0
40,90.0
41,79.0
42,30.0
43,22.0
44,36.0
45,22.0
46,83.0
47,41.0
48,46.0
49,62.0
50,42.0
51,33.0
52,75.0
53,38.0
54,28.0
55,47.0
56,78.0
57,40.0
58,37.0
59,67.0
60,23.0
61,56.0
62,44.0
63,59.0
64,33.0
65,58.0
66,27.0
67,34.0
68,66.0
69,21.0
70,62.0
71,26.0
72,39.0
73,80.0
74,59.0
75,45.0
76,52.0
77,83.0
78,28.0
79,31.0
80,40.0
81,26.0
82,57.0
83,68.0
84,30.0
85,33.0
86,89.0
87,63.0
88,68.0
89,92.0
90,41.0
91,37.0
92,80.0
93,122.0
94,60.0
95,90.0
96,36.0
97,28.0
98,39.0
99,34.0
100,55.0
101,47.0
102,109.0
103,64.0
104,47.0
105,42.0
106,58.0
107,45.0
108,81.0
109,200.0
110,44.0
111,52.0
112,86.0
113,27.0
114,45.0
115,39.0
116,43.0
117,69.0
118,64.0
119,70.0
120,30.0
121,61.0
122,30.0
123,200.0
124,65.0
125,31.0
126,66.0
127,33.0
128,57.0
129,200.0
130,56.0
131,64.0
132,38.0
133,47.0
134,35.0
135,31.0
136,55.0
137,40.0
138,40.0
139,37.0
140,43.0
141,48.0
142,200.0
143,32.0
144,62.0
145,47.0
146,200.0
147,58.0
148,200.0
149,71.0
150,37.0
151,80.0
152,39.0
153,49.0
154,56.0
155,81.0
156,77.0
157,67.0
158,200.0
159,74.0
160,143.0
161,200.0
162,200.0
163,200.0
164,81.0
165,200.0
166,200.0
167,67.0
168,38.0
169,88.0
170,47.0
171,37.0
172,49.0
173,39.0
174,48.0
175,101.0
176,61.0
177,45.0
178,65.0
179,47.0
180,84.0
181,102.0
182,200.0
183,200.0
184,67.0
185,200.0
186,112.0
187,107.0
188,200.0
189,200.0
190,200.0
191,200.0
192,83.0
193,77.0
