step,value
0,22.0
1,14.0
2,17.0
3,22.0
4,41.0
5,16.0
6,141.0
7,14.0
8,47.0
9,10.0
10,35.0
11,36.0
12,42.0
13,77.0
14,63.0
15,108.0
16,58.0
17,77.0
18,64.0
19,80.0
20,65.0
21,60.0
22,77.0
23,49.0
24,58.0
25,104.0
26,59.0
27,49.0
28,43.0
29,52.0
30,56.0
31,75.0
32,163.0
33,49.0
34,200.0
35,135.0
36,200.0
37,200.0
38,161.0
39,200.0
40,103.0
41,106.0
42,200.0
43,141.0
44,193.0
45,64.0
46,173.0
47,180.0
48,200.0
49,47.0
50,163.0
51,91.0
52,86.0
53,162.0
54,186.0
55,200.0
56,158.0
57,190.0
58,200.0
59,97.0
60,151.0
61,200.0
62,200.0
63,104.0
64,154.0
65,200.0
66,104.0
67,135.0
68,200.0
69,200.0
70,180.0
71,90.0
72,148.0
73,200.0
74,200.0
75,200.0
76,200.0
77,200.0
78,200.0
79,159.0
80,200.0
81,200.0
82,200.0
83,110.0
84,200.0
85,200.0
86,188.0
87,200.0
88,200.0
89,200.0
90,200.0
91,162.0
92,200.0
93,200.0
94,142.0
95,200.0
96,191.0
97,200.0
98,200.0
99,118.0
100,200.0
101,200.0
102,200.0
103,200.0
104,183.0
105,200.0
106,174.0
107,200.0
108,200.0
109,141.0
110,200.0
111,200.0
112,200.0
113,131.0
114,200.0
115,200.0
116,110.0
117,200.0
118,200.0
119,128.0
120,200.0
121,100.0
122,168.0
123,151.0
124,200.0
125,153.0
126,200.0
127,200.0
128,200.0
129,200.0
130,142.0
131,200.0
132,200.0
133,200.0
134,137.0
135,200.0
136,200.0
137,200.0
138,200.0
139,200.0
140,160.0
141,156.0
142,159.0
143,200.0
144,200.0
145,200.0
146,200.0
147,153.0
148,200.0
149,200.0
150,200.0
151,173.0
152,200.0
153,200.0
154,200.0
155,200.0
156,200.0
157,200.0
158,200.0
159,200.0
160,178.0
161,159.0
162,200.0
163,200.0
164,200.0
165,200.0
166,200.0
167,200.0
168,200.0
169,172.0
170,200.0
171,200.0
172,155.0
173,164.0
174,200.0
175,200.0
176,200.0
177,169.0
178,200.0
179,200.0
180,200.0
181,167.0
182,167.0
183,200.0
184,177.0
185,185.0
186,200.0
187,200.0
188,200.0
189,200.0
190,184.0
191,172.0
192,200.0
193,200.0
194,200.0
195,200.0
196,200.0
197,200.0
198,200.0
199,200.0
200,200.0
201,200.0
202,200.0
203,200.0
204,200.0
205,200.0
206,200.0
207,200.0
