step,value
0,9.0
1,11.0
2,9.0
3,10.0
4,12.0
5,10.0
6,9.0
7,13.0
8,14.0
9,18.0
10,52.0
11,27.0
12,17.0
13,35.0
14,24.0
15,39.0
16,13.0
17,200.0
18,22.0
19,14.0
20,12.0
21,99.0
22,11.0
23,77.0
24,105.0
25,120.0
26,75.0
27,200.0
28,73.0
29,54.0
30,81.0
31,104.0
32,147.0
33,98.0
34,200.0
35,90.0
36,99.0
37,97.0
38,111.0
39,200.0
40,200.0
41,200.0
42,138.0
43,200.0
44,63.0
45,143.0
46,200.0
47,104.0
48,131.0
49,131.0
50,200.0
51,156.0
52,80.0
53,195.0
54,163.0
55,200.0
56,200.0
57,200.0
58,200.0
59,200.0
60,190.0
61,192.0
62,200.0
63,97.0
64,160.0
65,200.0
66,144.0
67,200.0
68,200.0
69,200.0
70,199.0
71,166.0
72,200.0
73,200.0
74,200.0
75,200.0
76,200.0
77,148.0
78,200.0
79,200.0
80,128.0
81,150.0
82,174.0
83,177.0
84,176.0
85,200.0
86,176.0
87,200.0
88,200.0
89,173.0
90,137.0
91,74.0
92,76.0
93,68.0
94,184.0
95,200.0
96,200.0
97,198.0
98,200.0
99,200.0
100,200.0
101,200.0
102,200.0
103,76.0
104,200.0
105,200.0
106,200.0
107,200.0
108,200.0
109,200.0
110,119.0
111,74.0
112,171.0
113,200.0
114,174.0
115,200.0
116,200.0
117,179.0
118,200.0
119,200.0
120,153.0
121,200.0
122,200.0
123,200.0
124,200.0
125,200.0
126,200.0
127,200.0
128,183.0
129,200.0
130,197.0
131,200.0
132,200.0
133,70.0
134,102.0
135,200.0
136,200.0
137,200.0
138,169.0
139,200.0
140,180.0
141,200.0
142,200.0
143,200.0
144,200.0
145,200.0
146,200.0
147,200.0
148,200.0
149,200.0
150,200.0
151,200.0
152,200.0
153,200.0
154,200.0
155,200.0
156,200.0
157,200.0
158,200.0
159,200.0
