step,value
0,11.0
1,9.0
2,18.0
3,44.0
4,38.0
5,58.0
6,11.0
7,16.0
8,200.0
9,10.0
10,10.0
11,62.0
12,13.0
13,200.0
14,15.0
15,50.0
16,9.0
17,135.0
18,45.0
19,127.0
20,28.0
21,159.0
22,155.0
23,109.0
24,116.0
25,72.0
26,78.0
27,44.0
28,37.0
29,11.0
30,35.0
31,102.0
32,72.0
33,65.0
34,200.0
35,59.0
36,115.0
37,153.0
38,148.0
39,152.0
40,40.0
41,38.0
42,32.0
43,93.0
44,18.0
45,44.0
46,43.0
47,153.0
48,11.0
49,22.0
50,72.0
51,102.0
52,57.0
53,148.0
54,200.0
55,200.0
56,71.0
57,83.0
58,78.0
59,103.0
60,200.0
61,200.0
62,200.0
63,84.0
64,200.0
65,42.0
66,73.0
67,181.0
68,200.0
69,200.0
70,100.0
71,153.0
72,200.0
73,145.0
74,145.0
75,89.0
76,64.0
77,94.0
78,58.0
79,169.0
80,200.0
81,189.0
82,107.0
83,52.0
84,88.0
85,108.0
86,200.0
87,107.0
88,144.0
89,69.0
90,200.0
91,81.0
92,73.0
93,140.0
94,200.0
95,143.0
96,200.0
97,107.0
98,134.0
99,200.0
100,105.0
101,33.0
102,36.0
103,66.0
104,200.0
105,200.0
106,200.0
107,146.0
108,125.0
109,146.0
110,92.0
111,200.0
112,200.0
113,200.0
114,100.0
115,181.0
116,86.0
117,86.0
118,200.0
119,125.0
120,200.0
121,114.0
122,177.0
123,200.0
124,186.0
125,43.0
126,200.0
127,102.0
128,200.0
129,200.0
130,132.0
131,110.0
132,176.0
133,135.0
134,177.0
135,200.0
136,200.0
137,176.0
138,200.0
139,200.0
140,200.0
141,200.0
142,200.0
143,200.0
144,200.0
145,196.0
146,172.0
147,200.0
148,170.0
149,200.0
150,200.0
151,200.0
152,200.0
153,100.0
154,129.0
155,200.0
156,131.0
157,200.0
158,200.0
159,200.0
160,200.0
161,200.0
162,143.0
163,200.0
164,200.0
165,157.0
166,200.0
167,159.0
168,200.0
169,200.0
170,200.0
171,200.0
172,200.0
173,200.0
174,165.0
175,200.0
176,157.0
177,200.0
178,200.0
179,200.0
180,200.0
181,200.0
182,200.0
183,200.0
184,200.0
185,200.0
186,200.0
187,200.0
188,200.0
189,200.0
190,200.0
191,200.0
192,200.0
