step,value
0,20.0
1,10.0
2,16.0
3,77.0
4,27.0
5,22.0
6,18.0
7,22.0
8,29.0
9,183.0
10,32.0
11,12.0
12,24.0
13,27.0
14,29.0
15,29.0
16,34.0
17,26.0
18,50.0
19,40.0
20,23.0
21,37.0
22,21.0
23,58.0
24,51.0
25,36.0
26,24.0
27,131.0
28,49.0
29,37.0
30,97.0
31,200.0
32,26.0
33,52.0
34,100.0
35,200.0
36,87.0
37,200.0
38,43.0
39,115.0
40,192.0
41,54.0
42,103.0
43,77.0
44,92.0
45,200.0
46,37.0
47,200.0
48,60.0
49,200.0
50,49.0
51,200.0
52,43.0
53,57.0
54,187.0
55,44.0
56,112.0
57,52.0
58,33.0
59,110.0
60,26.0
61,27.0
62,38.0
63,48.0
64,47.0
65,134.0
66,68.0
67,57.0
68,91.0
69,184.0
70,77.0
71,115.0
72,28.0
73,38.0
74,65.0
75,88.0
76,104.0
77,102.0
78,55.0
79,62.0
80,64.0
81,45.0
82,200.0
83,43.0
84,64.0
85,40.0
86,200.0
87,163.0
88,200.0
89,198.0
90,200.0
91,55.0
92,200.0
93,66.0
94,50.0
95,183.0
96,60.0
97,110.0
98,200.0
99,179.0
100,200.0
101,62.0
102,161.0
103,130.0
104,93.0
105,200.0
106,117.0
107,200.0
108,200.0
109,200.0
110,200.0
111,200.0
112,173.0
113,187.0
114,191.0
115,200.0
116,200.0
117,200.0
118,200.0
119,146.0
120,200.0
121,73.0
122,200.0
123,103.0
124,53.0
125,98.0
126,96.0
127,200.0
128,89.0
129,104.0
130,113.0
131,96.0
132,200.0
133,200.0
134,200.0
135,200.0
136,175.0
137,200.0
138,200.0
139,200.0
140,200.0
141,200.0
142,200.0
143,200.0
144,78.0
145,200.0
146,200.0
147,195.0
148,200.0
149,200.0
150,200.0
151,200.0
152,200.0
153,160.0
154,103.0
155,200.0
156,200.0
157,115.0
158,200.0
159,200.0
160,165.0
161,200.0
162,124.0
163,200.0
164,140.0
165,154.0
166,117.0
167,122.0
168,200.0
169,200.0
170,108.0
171,200.0
172,200.0
173,164.0
174,200.0
175,200.0
176,200.0
177,200.0
178,200.0
179,200.0
180,200.0
181,200.0
182,200.0
183,192.0
184,77.0
185,200.0
186,113.0
187,200.0
188,200.0
189,200.0
190,200.0
191,177.0
192,200.0
193,200.0
194,131.0
195,200.0
196,200.0
197,200.0
198,200.0
199,200.0
200,200.0
201,200.0
202,200.0
203,163.0
204,143.0
205,200.0
206,200.0
207,200.0
208,200.0
209,102.0
210,184.0
211,200.0
212,200.0
213,200.0
214,166.0
215,200.0
216,200.0
217,200.0
218,186.0
219,200.0
220,200.0
221,176.0
222,200.0
223,121.0
224,200.0
225,200.0
226,146.0
227,200.0
228,200.0
229,200.0
230,200.0
231,200.0
232,200.0
233,200.0
234,200.0
235,200.0
236,200.0
237,200.0
238,200.0
239,200.0
240,200.0
241,200.0
242,200.0
243,200.0
244,200.0
245,200.0
246,200.0
247,200.0
248,200.0
