step,value
0,11.0
1,10.0
2,10.0
3,11.0
4,10.0
5,10.0
6,9.0
7,10.0
8,11.0
9,11.0
10,13.0
11,12.0
12,12.0
13,13.0
14,13.0
15,14.0
16,14.0
17,12.0
18,17.0
19,16.0
20,10.0
21,14.0
22,19.0
23,27.0
24,34.0
25,39.0
26,40.0
27,46.0
28,42.0
29,39.0
30,48.0
31,37.0
32,38.0
33,20.0
34,36.0
35,38.0
36,34.0
37,38.0
38,35.0
39,34.0
40,36.0
41,39.0
42,40.0
43,34.0
44,33.0
45,38.0
46,78.0
47,41.0
48,38.0
49,40.0
50,41.0
51,93.0
52,51.0
53,85.0
54,48.0
55,41.0
56,98.0
57,50.0
58,53.0
59,51.0
60,46.0
61,47.0
62,53.0
63,103.0
64,44.0
65,56.0
66,62.0
67,53.0
68,62.0
69,97.0
70,105.0
71,60.0
72,101.0
73,70.0
74,49.0
75,59.0
76,96.0
77,58.0
78,85.0
79,63.0
80,76.0
81,67.0
82,62.0
83,73.0
84,63.0
85,96.0
86,118.0
87,63.0
88,75.0
89,84.0
90,85.0
91,76.0
92,60.0
93,66.0
94,87.0
95,78.0
96,77.0
97,63.0
98,123.0
99,101.0
100,57.0
101,102.0
102,82.0
103,95.0
104,171.0
105,106.0
106,67.0
107,67.0
108,99.0
109,74.0
110,64.0
111,58.0
112,89.0
113,85.0
114,69.0
115,79.0
116,194.0
117,122.0
118,132.0
119,99.0
120,159.0
121,144.0
122,72.0
123,55.0
124,173.0
125,200.0
126,112.0
127,83.0
128,86.0
129,57.0
130,75.0
131,174.0
132,91.0
133,98.0
134,161.0
135,171.0
136,98.0
137,98.0
138,148.0
139,89.0
140,152.0
141,200.0
142,87.0
143,145.0
144,191.0
145,200.0
146,132.0
147,200.0
148,118.0
149,125.0
150,200.0
151,107.0
152,200.0
153,129.0
154,193.0
155,132.0
156,168.0
157,200.0
158,135.0
159,167.0
160,200.0
161,199.0
162,171.0
163,200.0
164,182.0
165,135.0
166,150.0
167,142.0
168,200.0
169,192.0
170,180.0
171,200.0
172,200.0
173,147.0
174,200.0
175,111.0
176,157.0
177,200.0
178,167.0
179,179.0
180,149.0
181,147.0
182,200.0
183,159.0
184,168.0
185,173.0
186,200.0
187,200.0
188,178.0
189,175.0
190,200.0
191,159.0
192,200.0
193,157.0
194,177.0
195,159.0
196,185.0
197,179.0
198,200.0
199,189.0
200,157.0
201,180.0
202,153.0
203,154.0
204,157.0
205,161.0
206,126.0
207,159.0
208,125.0
209,147.0
210,182.0
211,147.0
212,163.0
213,156.0
214,164.0
215,200.0
216,195.0
217,179.0
218,200.0
219,154.0
220,200.0
221,200.0
222,196.0
223,184.0
224,152.0
225,154.0
226,152.0
227,185.0
228,200.0
229,200.0
230,200.0
231,157.0
232,155.0
233,190.0
234,200.0
235,156.0
236,200.0
237,159.0
238,200.0
239,158.0
240,200.0
241,200.0
242,139.0
243,163.0
244,200.0
245,170.0
246,192.0
247,160.0
248,178.0
249,172.0
250,200.0
251,176.0
252,172.0
253,161.0
254,200.0
255,200.0
256,173.0
257,200.0
258,200.0
259,171.0
260,187.0
261,159.0
262,159.0
263,200.0
264,122.0
265,154.0
266,164.0
267,200.0
268,200.0
269,200.0
270,200.0
271,158.0
272,200.0
273,200.0
274,200.0
275,200.0
276,156.0
277,179.0
278,200.0
279,200.0
280,200.0
281,200.0
282,174.0
283,200.0
284,200.0
285,200.0
286,165.0
287,200.0
288,200.0
289,200.0
290,200.0
291,155.0
292,200.0
293,181.0
294,200.0
295,184.0
296,200.0
297,163.0
298,188.0
299,189.0
300,198.0
301,200.0
302,200.0
303,197.0
304,200.0
305,200.0
306,150.0
307,185.0
308,182.0
309,200.0
310,200.0
311,200.0
312,200.0
313,184.0
314,200.0
315,200.0
316,165.0
317,196.0
318,200.0
319,200.0
320,200.0
321,194.0
322,176.0
323,190.0
324,178.0
325,200.0
326,200.0
327,190.0
328,200.0
329,146.0
330,200.0
331,200.0
332,200.0
333,200.0
334,200.0
335,200.0
336,200.0
337,173.0
338,192.0
339,200.0
340,177.0
341,193.0
342,200.0
343,200.0
344,200.0
345,200.0
346,200.0
347,157.0
348,190.0
349,122.0
350,187.0
351,183.0
352,200.0
353,133.0
354,200.0
355,185.0
356,195.0
357,161.0
358,200.0
359,200.0
360,200.0
361,200.0
362,200.0
363,183.0
364,200.0
365,200.0
366,137.0
367,169.0
368,172.0
369,161.0
370,200.0
371,200.0
372,200.0
373,159.0
374,200.0
375,200.0
376,185.0
377,177.0
378,200.0
379,200.0
380,167.0
381,200.0
382,110.0
383,168.0
384,176.0
385,200.0
386,200.0
387,200.0
388,200.0
389,200.0
390,200.0
391,200.0
392,200.0
393,200.0
394,200.0
395,108.0
396,182.0
397,200.0
398,184.0
399,153.0
400,181.0
401,200.0
402,186.0
403,163.0
404,200.0
405,200.0
406,200.0
407,200.0
408,160.0
409,200.0
410,200.0
411,200.0
412,200.0
413,200.0
414,128.0
415,196.0
416,124.0
417,163.0
418,200.0
419,187.0
420,200.0
421,164.0
422,167.0
423,200.0
424,133.0
425,152.0
426,146.0
427,200.0
428,175.0
429,200.0
430,161.0
431,200.0
432,136.0
433,200.0
434,200.0
435,200.0
436,176.0
437,162.0
438,171.0
439,142.0
440,200.0
441,156.0
442,183.0
443,185.0
444,164.0
445,131.0
446,200.0
447,161.0
448,200.0
449,153.0
450,162.0
451,200.0
452,181.0
453,200.0
454,200.0
455,159.0
456,172.0
457,175.0
458,179.0
459,200.0
460,200.0
461,175.0
462,190.0
463,200.0
464,151.0
465,200.0
466,124.0
467,171.0
468,175.0
469,200.0
470,176.0
471,156.0
472,200.0
473,138.0
474,179.0
475,200.0
476,181.0
477,151.0
478,169.0
479,160.0
480,166.0
481,200.0
482,161.0
483,144.0
484,200.0
485,167.0
486,148.0
487,158.0
488,200.0
489,200.0
490,150.0
491,200.0
