step,value
0,34.0
1,8.0
2,22.0
3,16.0
4,16.0
5,17.0
6,10.0
7,8.0
8,8.0
9,52.0
10,66.0
11,43.0
12,36.0
13,71.0
14,54.0
15,90.0
16,27.0
17,40.0
18,41.0
19,37.0
20,35.0
21,57.0
22,30.0
23,43.0
24,43.0
25,32.0
26,36.0
27,34.0
28,33.0
29,31.0
30,31.0
31,29.0
32,38.0
33,24.0
34,29.0
35,34.0
36,33.0
37,35.0
38,29.0
39,32.0
40,27.0
41,34.0
42,37.0
43,41.0
44,32.0
45,27.0
46,31.0
47,40.0
48,37.0
49,27.0
50,29.0
51,27.0
52,39.0
53,34.0
54,25.0
55,27.0
56,36.0
57,31.0
58,50.0
59,43.0
60,37.0
61,52.0
62,27.0
63,31.0
64,25.0
65,30.0
66,28.0
67,26.0
68,48.0
69,32.0
70,33.0
71,35.0
72,30.0
73,50.0
74,60.0
75,41.0
76,54.0
77,44.0
78,45.0
79,57.0
80,54.0
81,35.0
82,44.0
83,51.0
84,35.0
85,41.0
86,38.0
87,43.0
88,53.0
89,59.0
90,48.0
91,65.0
92,43.0
93,50.0
94,62.0
95,63.0
96,42.0
97,45.0
98,46.0
99,43.0
100,48.0
101,41.0
102,49.0
103,44.0
104,62.0
105,87.0
106,51.0
107,59.0
108,49.0
109,50.0
110,62.0
111,79.0
112,74.0
113,63.0
114,62.0
115,65.0
116,45.0
117,73.0
118,59.0
119,63.0
120,62.0
121,55.0
122,63.0
123,70.0
124,52.0
125,77.0
126,53.0
127,78.0
128,57.0
129,98.0
130,79.0
131,71.0
132,89.0
133,87.0
134,69.0
135,56.0
136,83.0
137,67.0
138,99.0
139,85.0
140,71.0
141,65.0
142,86.0
143,89.0
144,85.0
145,113.0
146,85.0
147,42.0
148,50.0
149,104.0
150,107.0
151,114.0
152,104.0
153,154.0
154,90.0
155,97.0
156,106.0
157,104.0
158,76.0
159,85.0
160,80.0
161,99.0
162,50.0
163,94.0
164,72.0
165,42.0
166,79.0
167,92.0
168,103.0
169,47.0
170,97.0
171,53.0
172,89.0
173,73.0
174,112.0
175,91.0
176,89.0
177,69.0
178,108.0
179,108.0
180,96.0
181,106.0
182,97.0
183,126.0
184,135.0
185,95.0
186,117.0
187,103.0
188,133.0
189,161.0
190,114.0
191,111.0
192,117.0
193,104.0
194,109.0
195,105.0
196,119.0
197,117.0
198,147.0
199,147.0
200,88.0
201,124.0
202,127.0
203,63.0
204,96.0
205,120.0
206,123.0
207,49.0
208,131.0
209,52.0
210,69.0
211,93.0
212,131.0
213,138.0
214,75.0
215,122.0
216,162.0
217,152.0
218,118.0
219,153.0
220,96.0
221,120.0
222,140.0
223,142.0
224,139.0
225,130.0
226,114.0
227,180.0
228,125.0
229,186.0
230,136.0
231,142.0
232,146.0
233,120.0
234,134.0
235,130.0
236,146.0
237,124.0
238,174.0
239,143.0
240,120.0
241,157.0
242,80.0
243,139.0
244,130.0
245,180.0
246,129.0
247,99.0
248,137.0
249,132.0
250,141.0
251,129.0
252,146.0
253,130.0
254,146.0
255,148.0
256,104.0
257,116.0
258,142.0
259,110.0
260,120.0
261,192.0
262,100.0
263,103.0
264,122.0
265,154.0
266,123.0
267,137.0
268,109.0
269,185.0
270,153.0
271,99.0
272,156.0
273,147.0
274,160.0
275,200.0
276,121.0
277,184.0
278,158.0
279,168.0
280,166.0
281,94.0
282,153.0
283,140.0
284,114.0
285,135.0
286,107.0
287,177.0
288,115.0
289,117.0
290,180.0
291,92.0
292,163.0
293,176.0
294,134.0
295,169.0
296,125.0
297,151.0
298,149.0
299,166.0
300,190.0
301,152.0
302,154.0
303,172.0
304,172.0
305,172.0
306,189.0
307,104.0
308,160.0
309,182.0
310,150.0
311,200.0
312,176.0
313,176.0
314,147.0
315,179.0
316,110.0
317,137.0
318,184.0
319,138.0
320,179.0
321,162.0
322,143.0
323,196.0
324,189.0
325,164.0
326,175.0
327,187.0
328,101.0
329,182.0
330,161.0
331,200.0
332,167.0
333,156.0
334,144.0
335,200.0
336,123.0
337,176.0
338,166.0
339,129.0
340,120.0
341,200.0
342,111.0
343,151.0
344,138.0
345,176.0
346,195.0
347,191.0
348,108.0
349,173.0
350,113.0
351,120.0
352,100.0
353,128.0
354,194.0
355,180.0
356,112.0
357,159.0
358,200.0
359,191.0
360,145.0
361,169.0
