step,value
0,11.0
1,36.0
2,9.0
3,28.0
4,8.0
5,22.0
6,10.0
7,12.0
8,58.0
9,31.0
10,98.0
11,21.0
12,69.0
13,83.0
14,16.0
15,52.0
16,51.0
17,10.0
18,66.0
19,22.0
20,42.0
21,10.0
22,56.0
23,18.0
24,35.0
25,176.0
26,200.0
27,106.0
28,68.0
29,14.0
30,200.0
31,200.0
32,10.0
33,200.0
34,98.0
35,200.0
36,78.0
37,200.0
38,110.0
39,13.0
40,124.0
41,58.0
42,200.0
43,9.0
44,200.0
45,141.0
46,11.0
47,17.0
48,31.0
49,125.0
50,200.0
51,40.0
52,147.0
53,113.0
54,200.0
55,117.0
56,200.0
57,111.0
58,158.0
59,171.0
60,200.0
61,106.0
62,86.0
63,46.0
64,12.0
65,200.0
66,36.0
67,97.0
68,105.0
69,145.0
70,161.0
71,186.0
72,127.0
73,155.0
74,200.0
75,200.0
76,135.0
77,200.0
78,72.0
79,56.0
80,104.0
81,94.0
82,112.0
83,200.0
84,82.0
85,200.0
86,136.0
87,200.0
88,200.0
89,200.0
90,200.0
91,200.0
92,65.0
93,155.0
94,200.0
95,23.0
96,117.0
97,200.0
98,164.0
99,110.0
100,43.0
101,166.0
102,200.0
103,200.0
104,104.0
105,47.0
106,94.0
107,55.0
108,97.0
109,200.0
110,200.0
111,200.0
112,200.0
113,78.0
114,113.0
115,149.0
116,135.0
117,200.0
118,200.0
119,59.0
120,143.0
121,98.0
122,75.0
123,147.0
124,200.0
125,134.0
126,200.0
127,200.0
128,200.0
129,182.0
130,143.0
131,200.0
132,30.0
133,200.0
134,200.0
135,200.0
136,200.0
137,105.0
138,200.0
139,200.0
140,200.0
141,200.0
142,200.0
143,200.0
144,200.0
145,200.0
146,200.0
147,200.0
148,200.0
149,140.0
150,200.0
151,200.0
152,200.0
153,200.0
154,155.0
155,200.0
156,200.0
157,128.0
158,180.0
159,134.0
160,95.0
161,128.0
162,157.0
163,200.0
164,200.0
165,200.0
166,162.0
167,200.0
168,200.0
169,151.0
170,138.0
171,111.0
172,191.0
173,99.0
174,117.0
175,143.0
176,89.0
177,200.0
178,133.0
179,200.0
180,200.0
181,113.0
182,143.0
183,200.0
184,125.0
185,115.0
186,185.0
187,130.0
188,166.0
189,200.0
190,145.0
191,200.0
192,143.0
193,198.0
194,200.0
195,200.0
196,200.0
197,200.0
198,195.0
199,167.0
200,200.0
201,200.0
202,200.0
203,200.0
204,200.0
205,200.0
206,200.0
207,200.0
208,171.0
209,157.0
210,200.0
211,154.0
212,200.0
213,187.0
214,200.0
215,200.0
216,200.0
217,200.0
218,200.0
219,200.0
220,200.0
221,200.0
222,199.0
223,200.0
224,200.0
225,200.0
226,200.0
227,200.0
228,200.0
229,200.0
230,156.0
231,200.0
232,200.0
233,200.0
234,200.0
235,178.0
236,200.0
