step,value
0,95.0
1,91.0
2,16.0
3,27.0
4,13.0
5,11.0
6,32.0
7,13.0
8,29.0
9,27.0
10,28.0
11,14.0
12,27.0
13,92.0
14,26.0
15,48.0
16,15.0
17,19.0
18,16.0
19,37.0
20,48.0
21,31.0
22,200.0
23,63.0
24,69.0
25,26.0
26,57.0
27,44.0
28,200.0
29,77.0
30,104.0
31,68.0
32,200.0
33,153.0
34,110.0
35,107.0
36,106.0
37,102.0
38,153.0
39,46.0
40,42.0
41,97.0
42,46.0
43,49.0
44,51.0
45,147.0
46,49.0
47,45.0
48,67.0
49,58.0
50,55.0
51,33.0
52,40.0
53,45.0
54,44.0
55,30.0
56,41.0
57,36.0
58,32.0
59,36.0
60,36.0
61,34.0
62,36.0
63,48.0
64,35.0
65,53.0
66,37.0
67,34.0
68,29.0
69,46.0
70,32.0
71,42.0
72,38.0
73,33.0
74,41.0
75,63.0
76,33.0
77,53.0
78,47.0
79,27.0
80,33.0
81,31.0
82,42.0
83,48.0
84,28.0
85,37.0
86,32.0
87,43.0
88,35.0
89,27.0
90,30.0
91,37.0
92,35.0
93,32.0
94,46.0
95,28.0
96,35.0
97,57.0
98,36.0
99,77.0
100,76.0
101,46.0
102,35.0
103,40.0
104,48.0
105,54.0
106,27.0
107,26.0
108,34.0
109,53.0
110,30.0
111,27.0
112,32.0
113,32.0
114,27.0
115,28.0
116,36.0
117,43.0
118,31.0
119,39.0
120,40.0
121,33.0
122,61.0
123,35.0
124,27.0
125,29.0
126,31.0
127,48.0
128,31.0
129,32.0
130,28.0
131,31.0
132,136.0
133,43.0
134,43.0
135,32.0
136,34.0
137,55.0
138,26.0
139,30.0
140,27.0
141,25.0
142,36.0
143,39.0
144,49.0
145,34.0
146,39.0
147,29.0
148,31.0
149,61.0
150,35.0
151,126.0
152,47.0
153,43.0
154,27.0
155,33.0
156,29.0
157,53.0
158,44.0
159,39.0
160,37.0
161,30.0
162,97.0
163,36.0
164,37.0
165,75.0
166,56.0
167,27.0
168,67.0
169,96.0
170,30.0
171,43.0
172,39.0
173,39.0
174,33.0
175,82.0
176,114.0
177,45.0
178,72.0
179,46.0
180,32.0
181,37.0
182,117.0
183,64.0
184,92.0
185,48.0
186,51.0
187,40.0
188,35.0
189,55.0
190,125.0
191,100.0
192,34.0
193,79.0
194,40.0
195,50.0
196,120.0
197,200.0
198,130.0
199,127.0
200,136.0
201,132.0
202,148.0
203,36.0
204,44.0
205,34.0
206,77.0
207,154.0
208,200.0
209,150.0
210,130.0
211,142.0
212,79.0
213,54.0
214,200.0
215,82.0
216,51.0
217,132.0
218,87.0
219,89.0
220,96.0
221,70.0
222,200.0
223,102.0
224,142.0
225,89.0
226,89.0
227,200.0
228,80.0
229,78.0
230,99.0
231,89.0
232,107.0
233,144.0
234,93.0
235,77.0
236,65.0
237,70.0
238,58.0
239,187.0
240,70.0
241,187.0
242,99.0
243,82.0
244,200.0
245,135.0
246,125.0
247,162.0
248,158.0
249,102.0
250,176.0
251,171.0
252,89.0
253,108.0
254,119.0
255,177.0
256,111.0
257,83.0
258,67.0
259,190.0
260,128.0
261,200.0
262,83.0
263,102.0
264,115.0
265,200.0
266,191.0
267,200.0
268,92.0
269,122.0
270,109.0
271,103.0
272,71.0
273,89.0
274,200.0
275,109.0
276,114.0
277,111.0
278,85.0
279,118.0
280,98.0
281,98.0
282,101.0
283,97.0
284,99.0
285,116.0
286,107.0
287,100.0
288,79.0
289,113.0
290,113.0
291,94.0
292,95.0
293,96.0
294,111.0
295,106.0
296,115.0
297,134.0
298,110.0
299,95.0
300,117.0
301,120.0
302,107.0
303,131.0
304,97.0
305,106.0
306,107.0
307,103.0
308,107.0
309,107.0
310,124.0
311,116.0
312,91.0
313,105.0
314,112.0
315,120.0
316,118.0
317,101.0
318,96.0
319,113.0
320,96.0
321,85.0
322,103.0
323,123.0
324,101.0
325,112.0
326,106.0
327,117.0
328,125.0
329,135.0
330,102.0
331,90.0
332,97.0
333,103.0
334,200.0
335,106.0
336,119.0
337,117.0
338,102.0
339,117.0
340,95.0
341,109.0
342,104.0
343,102.0
344,106.0
345,98.0
346,110.0
347,109.0
348,91.0
349,105.0
350,110.0
351,108.0
352,87.0
353,106.0
354,94.0
355,141.0
356,83.0
357,120.0
358,83.0
359,121.0
360,106.0
361,113.0
362,115.0
363,109.0
364,95.0
365,94.0
366,92.0
367,111.0
368,95.0
369,122.0
370,119.0
371,105.0
372,119.0
373,84.0
374,109.0
375,125.0
376,95.0
377,109.0
378,100.0
379,118.0
380,79.0
381,123.0
382,108.0
383,120.0
384,143.0
385,100.0
386,115.0
387,122.0
388,102.0
389,200.0
390,100.0
391,121.0
392,96.0
393,121.0
394,110.0
395,96.0
396,129.0
397,108.0
398,134.0
399,109.0
400,92.0
401,114.0
402,115.0
403,119.0
404,106.0
405,95.0
406,102.0
407,97.0
408,101.0
409,100.0
410,114.0
411,92.0
412,119.0
413,106.0
414,96.0
415,96.0
416,106.0
417,102.0
418,109.0
419,102.0
420,101.0
421,128.0
422,112.0
423,110.0
424,117.0
425,99.0
426,117.0
427,100.0
428,104.0
429,126.0
430,98.0
431,132.0
432,115.0
433,112.0
434,115.0
435,95.0
436,116.0
437,115.0
438,106.0
439,89.0
440,102.0
441,101.0
442,95.0
443,115.0
444,105.0
445,126.0
446,96.0
447,91.0
448,100.0
449,90.0
450,99.0
451,97.0
452,119.0
453,108.0
454,113.0
455,95.0
456,104.0
457,105.0
458,122.0
459,102.0
460,111.0
461,114.0
462,98.0
463,200.0
464,98.0
465,106.0
466,106.0
467,102.0
468,112.0
469,117.0
470,98.0
471,105.0
472,105.0
473,120.0
474,92.0
475,95.0
476,200.0
477,118.0
478,123.0
479,113.0
480,106.0
481,105.0
482,101.0
483,104.0
484,110.0
485,102.0
486,104.0
487,107.0
488,110.0
489,106.0
490,93.0
